q,h,dh,l,dl,f,df,my,s,m
1557,592.908958, 1.118862, 4.079479,-0.034847,588.829479, 1.153709,564.086426,596.988437,592.908958
1558,594.028220, 1.119661, 4.044762,-0.034587,589.983458, 1.154248,565.019719,598.072982,594.028220
1559,595.148280, 1.120460, 4.010304,-0.034328,591.137976, 1.154788,565.953507,599.158584,595.148280
1560,596.269139, 1.121258, 3.976104,-0.034071,592.293035, 1.155330,566.887787,600.245243,596.269139
1561,597.390797, 1.122057, 3.942161,-0.033816,593.448636, 1.155873,567.822557,601.332958,597.390797
1562,598.513253, 1.122856, 3.908472,-0.033562,594.604782, 1.156418,568.757812,602.421725,598.513253
1563,599.636509, 1.123655, 3.875036,-0.033310,595.761473, 1.156965,569.693551,603.511544,599.636509
1564,600.760563, 1.124453, 3.841851,-0.033059,596.918712, 1.157513,570.629769,604.602414,600.760563
1565,601.885415, 1.125252, 3.808916,-0.032810,598.076499, 1.158062,571.566465,605.694332,601.885415
1566,603.011067, 1.126051, 3.776230,-0.032563,599.234837, 1.158614,572.503634,606.787297,603.011067
1567,604.137517, 1.126850, 3.743790,-0.032317,600.393727, 1.159167,573.441275,607.881307,604.137517
1568,605.264766, 1.127648, 3.711596,-0.032072,601.553171, 1.159721,574.379383,608.976362,605.264766
1569,606.392814, 1.128447, 3.679645,-0.031830,602.713169, 1.160277,575.317957,610.072459,606.392814
1570,607.521661, 1.129246, 3.647936,-0.031588,603.873725, 1.160834,576.256993,611.169597,607.521661
1571,608.651306, 1.130045, 3.616468,-0.031348,605.034839, 1.161394,577.196488,612.267774,608.651306
1572,609.781751, 1.130844, 3.585239,-0.031110,606.196512, 1.161954,578.136440,613.366990,609.781751
1573,610.912995, 1.131643, 3.554247,-0.030873,607.358748, 1.162517,579.076845,614.467242,610.912995
1574,612.045038, 1.132442, 3.523492,-0.030638,608.521546, 1.163080,580.017701,615.568529,612.045038
1575,613.177880, 1.133242, 3.492971,-0.030404,609.684909, 1.163646,580.959005,616.670850,613.177880
1576,614.311521, 1.134041, 3.462683,-0.030172,610.848838, 1.164213,581.900754,617.774204,614.311521
1577,615.445962, 1.134840, 3.432626,-0.029941,612.013335, 1.164781,582.842944,618.878588,615.445962
1578,616.581202, 1.135640, 3.402800,-0.029712,613.178401, 1.165352,583.785574,619.984002,616.581202
1579,617.717241, 1.136439, 3.373203,-0.029484,614.344039, 1.165923,584.728641,621.090444,617.717241
1580,618.854081, 1.137239, 3.343832,-0.029257,615.510249, 1.166497,585.672141,622.197913,618.854081
1581,619.991720, 1.138039, 3.314687,-0.029032,616.677032, 1.167071,586.616072,623.306407,619.991720
1582,621.130159, 1.138839, 3.285767,-0.028809,617.844392, 1.167648,587.560431,624.415926,621.130159
1583,622.269398, 1.139639, 3.257069,-0.028587,619.012329, 1.168226,588.505216,625.526467,622.269398
1584,623.409437, 1.140439, 3.228593,-0.028366,620.180844, 1.168805,589.450423,626.638030,623.409437
1585,624.550277, 1.141240, 3.200337,-0.028147,621.349940, 1.169387,590.396050,627.750614,624.550277
1586,625.691917, 1.142040, 3.172299,-0.027929,622.519618, 1.169969,591.342094,628.864216,625.691917
1587,626.834358, 1.142841, 3.144478,-0.027713,623.689879, 1.170554,592.288552,629.978836,626.834358
1588,627.977599, 1.143642, 3.116873,-0.027498,624.860726, 1.171140,593.235423,631.094472,627.977599
1589,629.121641, 1.144443, 3.089482,-0.027284,626.032159, 1.171727,594.182702,632.211124,629.121641
1590,630.266485, 1.145244, 3.062304,-0.027072,627.204181, 1.172316,595.130388,633.328789,630.266485
1591,631.412130, 1.146046, 3.035338,-0.026861,628.376792, 1.172907,596.078478,634.447468,631.412130
1592,632.558576, 1.146847, 3.008582,-0.026652,629.549995, 1.173499,597.026969,635.567158,632.558576
1593,633.705824, 1.147649, 2.982034,-0.026444,630.723790, 1.174093,597.975858,636.687858,633.705824
1594,634.853874, 1.148451, 2.955694,-0.026237,631.898180, 1.174688,598.925143,637.809568,634.853874
1595,636.002726, 1.149253, 2.929560,-0.026032,633.073166, 1.175285,599.874821,638.932286,636.002726
1596,637.152381, 1.150056, 2.903630,-0.025828,634.248750, 1.175883,600.824891,640.056011,637.152381
1597,638.302838, 1.150858, 2.877904,-0.025625,635.424933, 1.176483,601.775348,641.180742,638.302838
1598,639.454097, 1.151661, 2.852380,-0.025424,636.601717, 1.177085,602.726191,642.306477,639.454097
1599,640.606160, 1.152464, 2.827056,-0.025224,637.779104, 1.177688,603.677416,643.433216,640.606160
1600,641.759026, 1.153268, 2.801932,-0.025025,638.957094, 1.178293,604.629023,644.560958,641.759026
1601,642.912695, 1.154071, 2.777005,-0.024828,640.135690, 1.178899,605.581007,645.689701,642.912695
1602,644.067168, 1.154875, 2.752276,-0.024632,641.314892, 1.179507,606.533367,646.819444,644.067168
1603,645.222445, 1.155679, 2.727741,-0.024437,642.494704, 1.180116,607.486099,647.950187,645.222445
1604,646.378527, 1.156484, 2.703401,-0.024244,643.675126, 1.180727,608.439202,649.081928,646.378527
1605,647.535412, 1.157288, 2.679253,-0.024052,644.856159, 1.181340,609.392673,650.214666,647.535412
1606,648.693103, 1.158093, 2.655297,-0.023861,646.037806, 1.181954,610.346510,651.348400,648.693103
1607,649.851599, 1.158898, 2.631531,-0.023671,647.220067, 1.182570,611.300709,652.483130,649.851599
1608,651.010900, 1.159704, 2.607954,-0.023483,648.402945, 1.183187,612.255269,653.618854,651.010900
1609,652.171006, 1.160510, 2.584565,-0.023296,649.586442, 1.183806,613.210187,654.755571,652.171006
1610,653.331919, 1.161316, 2.561362,-0.023110,650.770557, 1.184426,614.165462,655.893280,653.331919
1611,654.493638, 1.162122, 2.538343,-0.022926,651.955294, 1.185048,615.121089,657.031981,654.493638
1612,655.656163, 1.162929, 2.515509,-0.022743,653.140654, 1.185671,616.077067,658.171672,655.656163
1613,656.819495, 1.163736, 2.492858,-0.022561,654.326638, 1.186296,617.033394,659.312353,656.819495
1614,657.983635, 1.164543, 2.470388,-0.022380,655.513247, 1.186923,617.990068,660.454022,657.983635
1615,659.148582, 1.165351, 2.448097,-0.022200,656.700484, 1.187551,618.947085,661.596679,659.148582
1616,660.314337, 1.166159, 2.425986,-0.022022,657.888350, 1.188181,619.904443,662.740323,660.314337
1617,661.480900, 1.166967, 2.404053,-0.021845,659.076847, 1.188812,620.862141,663.884952,661.480900
1618,662.648271, 1.167776, 2.382296,-0.021669,660.265975, 1.189445,621.820176,665.030567,662.648271
1619,663.816452, 1.168585, 2.360714,-0.021495,661.455738, 1.190080,622.778545,666.177165,663.816452
1620,664.985441, 1.169394, 2.339306,-0.021321,662.646135, 1.190715,623.737247,667.324747,664.985441
1621,666.155240, 1.170204, 2.318071,-0.021149,663.837169, 1.191353,624.696279,668.473312,666.155240
1622,667.325850, 1.171014, 2.297008,-0.020978,665.028841, 1.191992,625.655638,669.622858,667.325850
1623,668.497269, 1.171825, 2.276116,-0.020808,666.221154, 1.192633,626.615323,670.773385,668.497269
1624,669.669500, 1.172636, 2.255392,-0.020639,667.414107, 1.193275,627.575332,671.924892,669.669500
1625,670.842541, 1.173447, 2.234837,-0.020471,668.607704, 1.193919,628.535661,673.077378,670.842541
1626,672.016394, 1.174259, 2.214449,-0.020305,669.801945, 1.194564,629.496309,674.230843,672.016394
1627,673.191059, 1.175071, 2.194227,-0.020140,670.996832, 1.195211,630.457274,675.385285,673.191059
1628,674.366536, 1.175883, 2.174169,-0.019976,672.192367, 1.195859,631.418553,676.540705,674.366536
1629,675.542825, 1.176696, 2.154275,-0.019813,673.388550, 1.196509,632.380144,677.697100,675.542825
1630,676.719928, 1.177509, 2.134543,-0.019651,674.585385, 1.197160,633.342045,678.854471,676.719928
1631,677.897844, 1.178323, 2.114973,-0.019490,675.782872, 1.197813,634.304255,680.012817,677.897844
1632,679.076575, 1.179137, 2.095563,-0.019331,676.981012, 1.198468,635.266770,681.172137,679.076575
1633,680.256119, 1.179952, 2.076311,-0.019172,678.179808, 1.199124,636.229588,682.332430,680.256119
1634,681.436479, 1.180767, 2.057218,-0.019015,679.379261, 1.199782,637.192708,683.493697,681.436479
1635,682.617653, 1.181582, 2.038281,-0.018858,680.579372, 1.200441,638.156128,684.655935,682.617653
1636,683.799643, 1.182398, 2.019501,-0.018703,681.780143, 1.201102,639.119844,685.819144,683.799643
1637,684.982450, 1.183215, 2.000874,-0.018549,682.981575, 1.201764,640.083856,686.983324,684.982450
1638,686.166073, 1.184031, 1.982402,-0.018396,684.183671, 1.202428,641.048161,688.148474,686.166073
1639,687.350513, 1.184849, 1.964082,-0.018244,685.386431, 1.203093,642.012757,689.314594,687.350513
1640,688.535770, 1.185666, 1.945913,-0.018094,686.589857, 1.203760,642.977642,690.481683,688.535770
1641,689.721845, 1.186484, 1.927894,-0.017944,687.793951, 1.204428,643.942814,691.649739,689.721845
1642,690.908739, 1.187303, 1.910025,-0.017795,688.998714, 1.205098,644.908270,692.818764,690.908739
1643,692.096452, 1.188122, 1.892303,-0.017647,690.204148, 1.205770,645.874010,693.988755,692.096452
1644,693.284984, 1.188942, 1.874729,-0.017501,691.410254, 1.206443,646.840030,695.159713,693.284984
1645,694.474336, 1.189762, 1.857301,-0.017355,692.617034, 1.207117,647.806329,696.331637,694.474336
1646,695.664508, 1.190583, 1.840018,-0.017211,693.824489, 1.207793,648.772905,697.504526,695.664508
1647,696.855501, 1.191404, 1.822879,-0.017067,695.032622, 1.208471,649.739756,698.678380,696.855501
1648,698.047315, 1.192225, 1.805883,-0.016925,696.241432, 1.209150,650.706880,699.853198,698.047315
1649,699.239951, 1.193047, 1.789029,-0.016784,697.450922, 1.209831,651.674275,701.028980,699.239951
1650,700.433410, 1.193870, 1.772316,-0.016643,698.661094, 1.210513,652.641939,702.205726,700.433410
1651,701.627691, 1.194693, 1.755742,-0.016504,699.871949, 1.211197,653.609870,703.383434,701.627691
1652,702.822796, 1.195517, 1.739308,-0.016365,701.083488, 1.211882,654.578066,704.562104,702.822796
1653,704.018725, 1.196341, 1.723011,-0.016228,702.295714, 1.212569,655.546525,705.741736,704.018725
1654,705.215478, 1.197166, 1.706851,-0.016092,703.508626, 1.213257,656.515245,706.922329,705.215478
1655,706.413056, 1.197991, 1.690828,-0.015956,704.722228, 1.213947,657.484225,708.103884,706.413056
1656,707.611460, 1.198817, 1.674939,-0.015822,705.936521, 1.214638,658.453463,709.286398,707.611460
1657,708.810689, 1.199643, 1.659184,-0.015688,707.151505, 1.215331,659.422956,710.469873,708.810689
1658,710.010745, 1.200470, 1.643562,-0.015556,708.367184, 1.216026,660.392703,711.654307,710.010745
1659,711.211629, 1.201297, 1.628072,-0.015424,709.583557, 1.216721,661.362702,712.839701,711.211629
1660,712.413340, 1.202125, 1.612713,-0.015294,710.800627, 1.217419,662.332952,714.026053,712.413340
1661,713.615879, 1.202954, 1.597484,-0.015164,712.018395, 1.218118,663.303449,715.213363,713.615879
1662,714.819247, 1.203783, 1.582384,-0.015036,713.236863, 1.218818,664.274193,716.401631,714.819247
1663,716.023445, 1.204612, 1.567412,-0.014908,714.456032, 1.219520,665.245182,717.590857,716.023445
1664,717.228472, 1.205443, 1.552568,-0.014781,715.675904, 1.220224,666.216414,718.781040,717.228472
1665,718.434330, 1.206273, 1.537850,-0.014655,716.896480, 1.220929,667.187887,719.972180,718.434330
1666,719.641019, 1.207105, 1.523257,-0.014530,718.117762, 1.221635,668.159599,721.164276,719.641019
1667,720.848540, 1.207937, 1.508789,-0.014406,719.339751, 1.222343,669.131548,722.357329,720.848540
1668,722.056893, 1.208769, 1.494444,-0.014283,720.562449, 1.223053,670.103734,723.551337,722.056893
1669,723.266079, 1.209603, 1.480222,-0.014161,721.785857, 1.223764,671.076154,724.746301,723.266079
1670,724.476098, 1.210436, 1.466122,-0.014040,723.009976, 1.224476,672.048806,725.942220,724.476098
1671,725.686951, 1.211271, 1.452142,-0.013919,724.234809, 1.225190,673.021688,727.139094,725.686951
1672,726.898640, 1.212106, 1.438283,-0.013800,725.460357, 1.225906,673.994800,728.336922,726.898640
1673,728.111163, 1.212941, 1.424542,-0.013681,726.686621, 1.226623,674.968139,729.535705,728.111163
1674,729.324522, 1.213777, 1.410919,-0.013564,727.913603, 1.227341,675.941703,730.735441,729.324522
1675,730.538718, 1.214614, 1.397414,-0.013447,729.141304, 1.228061,676.915491,731.936132,730.538718
1676,731.753751, 1.215452, 1.384025,-0.013331,730.369725, 1.228783,677.889502,733.137776,731.753751
1677,732.969621, 1.216290, 1.370752,-0.013216,731.598869, 1.229506,678.863732,734.340373,732.969621
1678,734.186330, 1.217128, 1.357593,-0.013102,732.828737, 1.230230,679.838182,735.543923,734.186330
1679,735.403878, 1.217968, 1.344548,-0.012988,734.059330, 1.230956,680.812849,736.748426,735.403878
1680,736.622266, 1.218808, 1.331616,-0.012876,735.290649, 1.231683,681.787732,737.953882,736.622266
1681,737.841493, 1.219648, 1.318796,-0.012764,736.522697, 1.232412,682.762828,739.160290,737.841493
1682,739.061562, 1.220489, 1.306088,-0.012653,737.755474, 1.233143,683.738137,740.367650,739.061562
1683,740.282472, 1.221331, 1.293489,-0.012543,738.988983, 1.233875,684.713657,741.575962,740.282472
1684,741.504225, 1.222174, 1.281001,-0.012434,740.223224, 1.234608,685.689386,742.785225,741.504225
1685,742.726820, 1.223017, 1.268621,-0.012326,741.458200, 1.235343,686.665322,743.995441,742.726820
1686,743.950259, 1.223861, 1.256349,-0.012218,742.693910, 1.236079,687.641464,745.206607,743.950259
1687,745.174542, 1.224705, 1.244184,-0.012112,743.930358, 1.236817,688.617811,746.418725,745.174542
1688,746.399670, 1.225550, 1.232125,-0.012006,745.167545, 1.237556,689.594361,747.631795,746.399670
1689,747.625643, 1.226396, 1.220172,-0.011901,746.405472, 1.238297,690.571112,748.845815,747.625643
1690,748.852463, 1.227243, 1.208323,-0.011797,747.644140, 1.239039,691.548063,750.060786,748.852463
1691,750.080129, 1.228090, 1.196578,-0.011693,748.883551, 1.239783,692.525212,751.276707,750.080129
1692,751.308643, 1.228938, 1.184937,-0.011590,750.123706, 1.240528,693.502558,752.493579,751.308643
1693,752.538005, 1.229786, 1.173397,-0.011488,751.364608, 1.241275,694.480099,753.711402,752.538005
1694,753.768216, 1.230636, 1.161959,-0.011387,752.606256, 1.242023,695.457834,754.930175,753.768216
1695,754.999276, 1.231485, 1.150622,-0.011287,753.848654, 1.242773,696.435762,756.149898,754.999276
1696,756.231187, 1.232336, 1.139385,-0.011187,755.091802, 1.243524,697.413880,757.370572,756.231187
1697,757.463949, 1.233187, 1.128247,-0.011089,756.335702, 1.244276,698.392187,758.592196,757.463949
1698,758.697562, 1.234039, 1.117207,-0.010991,757.580354, 1.245030,699.370683,759.814769,758.697562
1699,759.932027, 1.234892, 1.106265,-0.010893,758.825762, 1.245785,700.349364,761.038293,759.932027
1700,761.167346, 1.235745, 1.095420,-0.010797,760.071926, 1.246542,701.328231,762.262766,761.167346
1701,762.403518, 1.236599, 1.084671,-0.010701,761.318847, 1.247301,702.307281,763.488190,762.403518
1702,763.640545, 1.237454, 1.074018,-0.010606,762.566527, 1.248060,703.286514,764.714563,763.640545
1703,764.878427, 1.238310, 1.063459,-0.010512,763.814968, 1.248822,704.265927,765.941886,764.878427
1704,766.117165, 1.239166, 1.052994,-0.010418,765.064171, 1.249584,705.245519,767.170159,766.117165
1705,767.356760, 1.240023, 1.042622,-0.010325,766.314137, 1.250348,706.225290,768.399382,767.356760
1706,768.597211, 1.240881, 1.032343,-0.010233,767.564868, 1.251114,707.205237,769.629554,768.597211
1707,769.838521, 1.241739, 1.022156,-0.010142,768.816365, 1.251881,708.185359,770.860677,769.838521
1708,771.080689, 1.242598, 1.012059,-0.010051,770.068630, 1.252649,709.165655,772.092749,771.080689
1709,772.323717, 1.243458, 1.002053,-0.009961,771.321664, 1.253419,710.146123,773.325770,772.323717
1710,773.567605, 1.244318, 0.992136,-0.009872,772.575469, 1.254190,711.126762,774.559742,773.567605
1711,774.812355, 1.245180, 0.982309,-0.009783,773.830046, 1.254963,712.107571,775.794663,774.812355
1712,776.057965, 1.246042, 0.972569,-0.009696,775.085396, 1.255737,713.088549,777.030535,776.057965
1713,777.304438, 1.246905, 0.962917,-0.009608,776.341521, 1.256513,714.069693,778.267356,777.304438
1714,778.551775, 1.247768, 0.953352,-0.009522,777.598422, 1.257290,715.051003,779.505127,778.551775
1715,779.799975, 1.248632, 0.943873,-0.009436,778.856102, 1.258068,716.032478,780.743848,779.799975
1716,781.049040, 1.249497, 0.934480,-0.009351,780.114560, 1.258848,717.014116,781.983519,781.049040
1717,782.298970, 1.250363, 0.925171,-0.009267,781.373799, 1.259630,717.995915,783.224141,782.298970
1718,783.549766, 1.251230, 0.915946,-0.009183,782.633820, 1.260412,718.977876,784.465712,783.549766
1719,784.801429, 1.252097, 0.906805,-0.009100,783.894624, 1.261197,719.959995,785.708234,784.801429
1720,786.053960, 1.252965, 0.897747,-0.009017,785.156213, 1.261982,720.942273,786.951706,786.053960
1721,787.307359, 1.253834, 0.888770,-0.008936,786.418589, 1.262769,721.924707,788.196129,787.307359
1722,788.561627, 1.254703, 0.879875,-0.008854,787.681752, 1.263557,722.907297,789.441503,788.561627
1723,789.816765, 1.255573, 0.871061,-0.008774,788.945704, 1.264347,723.890041,790.687827,789.816765
1724,791.072774, 1.256444, 0.862327,-0.008694,790.210447, 1.265138,724.872938,791.935102,791.072774
1725,792.329655, 1.257316, 0.853673,-0.008615,791.475982, 1.265931,725.855987,793.183327,792.329655
1726,793.587407, 1.258189, 0.845097,-0.008536,792.742310, 1.266725,726.839186,794.432504,793.587407
1727,794.846032, 1.259062, 0.836600,-0.008458,794.009432, 1.267521,727.822535,795.682633,794.846032
1728,796.105532, 1.259936, 0.828181,-0.008381,795.277351, 1.268317,728.806032,796.933712,796.105532
1729,797.365905, 1.260811, 0.819838,-0.008304,796.546067, 1.269116,729.789676,798.185743,797.365905
1730,798.627154, 1.261687, 0.811572,-0.008228,797.815583, 1.269915,730.773466,799.438726,798.627154
1731,799.889279, 1.262563, 0.803381,-0.008153,799.085898, 1.270716,731.757401,800.692661,799.889279
1732,801.152281, 1.263441, 0.795266,-0.008078,800.357016, 1.271519,732.741479,801.947547,801.152281
1733,802.416161, 1.264319, 0.787225,-0.008004,801.628936, 1.272322,733.725699,803.203386,802.416161
1734,803.680919, 1.265197, 0.779258,-0.007930,802.901661, 1.273128,734.710060,804.460177,803.680919
1735,804.946556, 1.266077, 0.771364,-0.007857,804.175191, 1.273934,735.694562,805.717920,804.946556
1736,806.213073, 1.266957, 0.763544,-0.007785,805.449529, 1.274742,736.679202,806.976617,806.213073
1737,807.480471, 1.267839, 0.755795,-0.007713,806.724676, 1.275551,737.663980,808.236266,807.480471
1738,808.748750, 1.268721, 0.748118,-0.007642,808.000633, 1.276362,738.648895,809.496868,808.748750
1739,810.017912, 1.269603, 0.740512,-0.007571,809.277401, 1.277174,739.633945,810.758424,810.017912
1740,811.287957, 1.270487, 0.732976,-0.007501,810.554981, 1.277988,740.619129,812.020933,811.287957
1741,812.558886, 1.271371, 0.725510,-0.007431,811.833376, 1.278802,741.604447,813.284396,812.558886
1742,813.830700, 1.272256, 0.718113,-0.007362,813.112587, 1.279619,742.589897,814.548813,813.830700
1743,815.103399, 1.273142, 0.710785,-0.007294,814.392614, 1.280436,743.575478,815.814184,815.103399
1744,816.376985, 1.274029, 0.703525,-0.007226,815.673459, 1.281255,744.561189,817.080510,816.376985
1745,817.651457, 1.274917, 0.696333,-0.007159,816.955124, 1.282075,745.547029,818.347790,817.651457
1746,818.926818, 1.275805, 0.689208,-0.007092,818.237610, 1.282897,746.532997,819.616026,818.926818
1747,820.203067, 1.276694, 0.682149,-0.007026,819.520919, 1.283720,747.519092,820.885216,820.203067
1748,821.480206, 1.277584, 0.675156,-0.006960,820.805051, 1.284544,748.505313,822.155362,821.480206
1749,822.758236, 1.278475, 0.668228,-0.006895,822.090008, 1.285370,749.491658,823.426464,822.758236
1750,824.037156, 1.279366, 0.661365,-0.006831,823.375791, 1.286197,750.478127,824.698522,824.037156
1751,825.316969, 1.280259, 0.654567,-0.006767,824.662402, 1.287025,751.464719,825.971536,825.316969
1752,826.597674, 1.281152, 0.647832,-0.006703,825.949842, 1.287855,752.451433,827.245506,826.597674
1753,827.879273, 1.282046, 0.641160,-0.006640,827.238113, 1.288686,753.438267,828.520433,827.879273
1754,829.161766, 1.282941, 0.634551,-0.006578,828.527215, 1.289519,754.425221,829.796318,829.161766
1755,830.445155, 1.283837, 0.628004,-0.006516,829.817151, 1.290352,755.412293,831.073160,830.445155
1756,831.729440, 1.284733, 0.621519,-0.006455,831.107921, 1.291188,756.399483,832.350959,831.729440
1757,833.014621, 1.285630, 0.615095,-0.006394,832.399526, 1.292024,757.386790,833.629717,833.014621
1758,834.300701, 1.286528, 0.608732,-0.006333,833.691969, 1.292862,758.374213,834.909432,834.300701
1759,835.587678, 1.287427, 0.602428,-0.006273,834.985250, 1.293701,759.361750,836.190107,835.587678
1760,836.875556, 1.288327, 0.596185,-0.006214,836.279371, 1.294541,760.349401,837.471740,836.875556
1761,838.164333, 1.289228, 0.590000,-0.006155,837.574333, 1.295383,761.337165,838.754333,838.164333
1762,839.454011, 1.290129, 0.583874,-0.006097,838.870137, 1.296226,762.325041,840.037885,839.454011
1763,840.744591, 1.291031, 0.577806,-0.006039,840.166785, 1.297070,763.313028,841.322398,840.744591
1764,842.036074, 1.291934, 0.571796,-0.005982,841.464278, 1.297916,764.301125,842.607870,842.036074
1765,843.328460, 1.292838, 0.565843,-0.005925,842.762618, 1.298763,765.289330,843.894303,843.328460
1766,844.621751, 1.293743, 0.559946,-0.005868,844.061805, 1.299611,766.277644,845.181697,844.621751
1767,845.915947, 1.294648, 0.554106,-0.005812,845.361841, 1.300461,767.266066,846.470052,845.915947
1768,847.211048, 1.295555, 0.548321,-0.005757,846.662727, 1.301312,768.254593,847.759369,847.211048
1769,848.507056, 1.296462, 0.542592,-0.005702,847.964465, 1.302164,769.243226,849.049648,848.507056
1770,849.803972, 1.297370, 0.536917,-0.005647,849.267055, 1.303018,770.231963,850.340890,849.803972
1771,851.101797, 1.298279, 0.531297,-0.005593,850.570500, 1.303872,771.220804,851.633094,851.101797
1772,852.400531, 1.299189, 0.525730,-0.005540,851.874801, 1.304728,772.209748,852.926261,852.400531
1773,853.700174, 1.300099, 0.520217,-0.005487,853.179958, 1.305586,773.198794,854.220391,853.700174
1774,855.000729, 1.301011, 0.514757,-0.005434,854.485973, 1.306445,774.187941,855.515486,855.000729
1775,856.302196, 1.301923, 0.509349,-0.005382,855.792847, 1.307304,775.177187,856.811544,856.302196
1776,857.604575, 1.302836, 0.503993,-0.005330,857.100582, 1.308166,776.166534,858.108568,857.604575
1777,858.907867, 1.303750, 0.498689,-0.005279,858.409179, 1.309028,777.155978,859.406556,858.907867
1778,860.212074, 1.304664, 0.493435,-0.005228,859.718639, 1.309892,778.145520,860.705510,860.212074
1779,861.517196, 1.305580, 0.488233,-0.005177,861.028964, 1.310757,779.135159,862.005429,861.517196
1780,862.823234, 1.306496, 0.483081,-0.005127,862.340154, 1.311624,780.124894,863.306315,862.823234
1781,864.130189, 1.307413, 0.477978,-0.005078,863.652211, 1.312491,781.114724,864.608167,864.130189
1782,865.438061, 1.308331, 0.472925,-0.005029,864.965136, 1.313360,782.104648,865.910986,865.438061
1783,866.746852, 1.309250, 0.467921,-0.004980,866.278931, 1.314230,783.094665,867.214773,866.746852
1784,868.056562, 1.310170, 0.462965,-0.004932,867.593597, 1.315102,784.084776,868.519527,868.056562
1785,869.367193, 1.311091, 0.458058,-0.004884,868.909135, 1.315974,785.074978,869.825250,869.367193
1786,870.678744, 1.312012, 0.453198,-0.004836,870.225546, 1.316848,786.065271,871.131942,870.678744
1787,871.991217, 1.312934, 0.448385,-0.004789,871.542832, 1.317723,787.055654,872.439602,871.991217
1788,873.304613, 1.313857, 0.443620,-0.004742,872.860993, 1.318600,788.046127,873.748232,873.304613
1789,874.618932, 1.314781, 0.438900,-0.004696,874.180032, 1.319477,789.036688,875.057832,874.618932
1790,875.934175, 1.315706, 0.434227,-0.004650,875.499948, 1.320356,790.027338,876.368402,875.934175
1791,877.250344, 1.316632, 0.429599,-0.004605,876.820745, 1.321236,791.018074,877.679944,877.250344
1792,878.567439, 1.317558, 0.425017,-0.004560,878.142422, 1.322118,792.008897,878.992456,878.567439
1793,879.885460, 1.318485, 0.420480,-0.004515,879.464981, 1.323000,792.999805,880.305940,879.885460
1794,881.204410, 1.319413, 0.415987,-0.004471,880.788423, 1.323884,793.990799,881.620396,881.204410
1795,882.524288, 1.320342, 0.411538,-0.004427,882.112750, 1.324769,794.981876,882.935825,882.524288
1796,883.845095, 1.321272, 0.407132,-0.004384,883.437962, 1.325656,795.973037,884.252227,883.845095
1797,885.166832, 1.322203, 0.402770,-0.004340,884.764062, 1.326543,796.964281,885.569603,885.166832
1798,886.489501, 1.323134, 0.398451,-0.004298,886.091049, 1.327432,797.955606,886.887952,886.489501
1799,887.813101, 1.324067, 0.394175,-0.004255,887.418926, 1.328322,798.947013,888.207276,887.813101
1800,889.137634, 1.325000, 0.389940,-0.004213,888.747694, 1.329213,799.938500,889.527575,889.137634
1801,890.463101, 1.325934, 0.385748,-0.004172,890.077353, 1.330106,800.930067,890.848849,890.463101
1802,891.789502, 1.326869, 0.381597,-0.004131,891.407905, 1.330999,801.921713,892.171099,891.789502
1803,893.116838, 1.327804, 0.377487,-0.004090,892.739352, 1.331894,802.913437,893.494325,893.116838
1804,894.445111, 1.328741, 0.373417,-0.004049,894.071693, 1.332790,803.905239,894.818528,894.445111
1805,895.774320, 1.329678, 0.369388,-0.004009,895.404932, 1.333687,804.897118,896.143708,895.774320
1806,897.104467, 1.330616, 0.365399,-0.003969,896.739068, 1.334586,805.889073,897.469866,897.104467
1807,898.435553, 1.331555, 0.361449,-0.003930,898.074103, 1.335485,806.881104,898.797002,898.435553
1808,899.767578, 1.332495, 0.357539,-0.003891,899.410039, 1.336386,807.873210,900.125117,899.767578
1809,901.100543, 1.333436, 0.353668,-0.003852,900.746876, 1.337288,808.865390,901.454211,901.100543
1810,902.434450, 1.334377, 0.349835,-0.003814,902.084615, 1.338191,809.857644,902.784285,902.434450
1811,903.769299, 1.335320, 0.346040,-0.003776,903.423258, 1.339095,810.849971,904.115339,903.769299
1812,905.105090, 1.336263, 0.342283,-0.003738,904.762806, 1.340001,811.842370,905.447373,905.105090
1813,906.441825, 1.337207, 0.338564,-0.003701,906.103261, 1.340908,812.834840,906.780389,906.441825
1814,907.779504, 1.338152, 0.334882,-0.003664,907.444622, 1.341815,813.827382,908.114386,907.779504
1815,909.118129, 1.339098, 0.331237,-0.003627,908.786892, 1.342724,814.819994,909.449366,909.118129
1816,910.457700, 1.340044, 0.327628,-0.003591,910.130071, 1.343635,815.812675,910.785328,910.457700
1817,911.798217, 1.340992, 0.324056,-0.003554,911.474161, 1.344546,816.805426,912.122273,911.798217
1818,913.139683, 1.341940, 0.320519,-0.003519,912.819164, 1.345459,817.798245,913.460202,913.139683
1819,914.482097, 1.342889, 0.317018,-0.003483,914.165079, 1.346372,818.791133,914.799115,914.482097
1820,915.825461, 1.343839, 0.313552,-0.003448,915.511908, 1.347287,819.784087,916.139013,915.825461
1821,917.169775, 1.344789, 0.310121,-0.003414,916.859653, 1.348203,820.777108,917.479896,917.169775
1822,918.515040, 1.345741, 0.306725,-0.003379,918.208315, 1.349120,821.770195,918.821765,918.515040
1823,919.861257, 1.346693, 0.303363,-0.003345,919.557894, 1.350038,822.763347,920.164620,919.861257
1824,921.208426, 1.347646, 0.300035,-0.003311,920.908392, 1.350958,823.756565,921.508461,921.208426
