q,f,df
 199,-4006.521071, 4.984410
 200,-4001.536736, 4.984259
 201,-3996.552553, 4.984107
 202,-3991.568523, 4.983953
 203,-3986.584648, 4.983798
 204,-3981.600928, 4.983641
 205,-3976.617366, 4.983483
 206,-3971.633963, 4.983324
 207,-3966.650719, 4.983163
 208,-3961.667637, 4.983001
 209,-3956.684719, 4.982837
 210,-3951.701964, 4.982672
 211,-3946.719376, 4.982505
 212,-3941.736954, 4.982337
 213,-3936.754702, 4.982168
 214,-3931.772620, 4.981997
 215,-3926.790709, 4.981824
 216,-3921.808972, 4.981650
 217,-3916.827409, 4.981475
 218,-3911.846023, 4.981297
 219,-3906.864815, 4.981119
 220,-3901.883786, 4.980939
 221,-3896.902938, 4.980757
 222,-3891.922273, 4.980574
 223,-3886.941792, 4.980389
 224,-3881.961496, 4.980202
 225,-3876.981388, 4.980014
 226,-3872.001469, 4.979824
 227,-3867.021740, 4.979633
 228,-3862.042204, 4.979440
 229,-3857.062861, 4.979245
 230,-3852.083714, 4.979049
 231,-3847.104765, 4.978851
 232,-3842.126014, 4.978651
 233,-3837.147464, 4.978449
 234,-3832.169116, 4.978246
 235,-3827.190972, 4.978041
 236,-3822.213034, 4.977834
 237,-3817.235304, 4.977626
 238,-3812.257783, 4.977416
 239,-3807.280473, 4.977204
 240,-3802.303376, 4.976990
 241,-3797.326494, 4.976774
 242,-3792.349829, 4.976557
 243,-3787.373381, 4.976337
 244,-3782.397154, 4.976116
 245,-3777.421150, 4.975893
 246,-3772.445369, 4.975668
 247,-3767.469814, 4.975442
 248,-3762.494486, 4.975213
 249,-3757.519388, 4.974982
 250,-3752.544522, 4.974750
 251,-3747.569890, 4.974515
 252,-3742.595493, 4.974279
 253,-3737.621333, 4.974040
 254,-3732.647413, 4.973800
 255,-3727.673734, 4.973557
 256,-3722.700298, 4.973313
 257,-3717.727108, 4.973067
 258,-3712.754166, 4.972818
 259,-3707.781473, 4.972568
 260,-3702.809032, 4.972315
 261,-3697.836844, 4.972060
 262,-3692.864912, 4.971803
 263,-3687.893238, 4.971544
 264,-3682.921824, 4.971283
 265,-3677.950672, 4.971020
 266,-3672.979784, 4.970755
 267,-3668.009163, 4.970487
 268,-3663.038810, 4.970218
 269,-3658.068729, 4.969946
 270,-3653.098920, 4.969672
 271,-3648.129386, 4.969395
 272,-3643.160130, 4.969117
 273,-3638.191154, 4.968836
 274,-3633.222460, 4.968552
 275,-3628.254050, 4.968267
 276,-3623.285927, 4.967979
 277,-3618.318092, 4.967689
 278,-3613.350549, 4.967397
 279,-3608.383299, 4.967102
 280,-3603.416346, 4.966805
 281,-3598.449691, 4.966505
 282,-3593.483336, 4.966203
 283,-3588.517285, 4.965899
 284,-3583.551539, 4.965592
 285,-3578.586101, 4.965283
 286,-3573.620974, 4.964971
 287,-3568.656159, 4.964657
 288,-3563.691660, 4.964340
 289,-3558.727479, 4.964021
 290,-3553.763619, 4.963699
 291,-3548.800081, 4.963375
 292,-3543.836869, 4.963048
 293,-3538.873986, 4.962719
 294,-3533.911432, 4.962387
 295,-3528.949213, 4.962052
 296,-3523.987329, 4.961715
 297,-3519.025784, 4.961375
 298,-3514.064580, 4.961032
 299,-3509.103719, 4.960687
 300,-3504.143206, 4.960339
 301,-3499.183042, 4.959989
 302,-3494.223230, 4.959635
 303,-3489.263772, 4.959279
 304,-3484.304673, 4.958920
 305,-3479.345933, 4.958558
 306,-3474.387557, 4.958194
 307,-3469.429546, 4.957826
 308,-3464.471905, 4.957456
 309,-3459.514635, 4.957083
 310,-3454.557739, 4.956707
 311,-3449.601221, 4.956329
 312,-3444.645083, 4.955947
 313,-3439.689328, 4.955562
 314,-3434.733960, 4.955175
 315,-3429.778980, 4.954784
 316,-3424.824392, 4.954391
 317,-3419.870200, 4.953994
 318,-3414.916406, 4.953594
 319,-3409.963012, 4.953192
 320,-3405.010023, 4.952786
 321,-3400.057441, 4.952377
 322,-3395.105269, 4.951966
 323,-3390.153511, 4.951551
 324,-3385.202169, 4.951133
 325,-3380.251247, 4.950711
