q,f,df
2138,1394.813744, 1.676911
2139,1396.491199, 1.677998
2140,1398.169741, 1.679086
2141,1399.849370, 1.680173
2142,1401.530087, 1.681260
2143,1403.211890, 1.682347
2144,1404.894781, 1.683435
2145,1406.578760, 1.684522
2146,1408.263825, 1.685609
2147,1409.949978, 1.686696
2148,1411.637218, 1.687784
2149,1413.325546, 1.688871
2150,1415.014960, 1.689958
2151,1416.705462, 1.691045
2152,1418.397051, 1.692132
2153,1420.089727, 1.693219
2154,1421.783490, 1.694307
2155,1423.478340, 1.695394
2156,1425.174277, 1.696480
2157,1426.871301, 1.697567
2158,1428.569411, 1.698654
2159,1430.268609, 1.699741
2160,1431.968893, 1.700828
2161,1433.670265, 1.701914
2162,1435.372722, 1.703001
2163,1437.076267, 1.704088
2164,1438.780898, 1.705174
2165,1440.486615, 1.706261
2166,1442.193419, 1.707347
2167,1443.901309, 1.708433
2168,1445.610285, 1.709519
2169,1447.320347, 1.710605
2170,1449.031496, 1.711691
2171,1450.743730, 1.712777
2172,1452.457050, 1.713863
2173,1454.171456, 1.714949
2174,1455.886948, 1.716034
2175,1457.603525, 1.717120
2176,1459.321187, 1.718205
2177,1461.039935, 1.719290
2178,1462.759768, 1.720376
2179,1464.480687, 1.721461
2180,1466.202690, 1.722546
2181,1467.925778, 1.723630
2182,1469.649950, 1.724715
2183,1471.375208, 1.725800
2184,1473.101550, 1.726884
2185,1474.828976, 1.727968
2186,1476.557486, 1.729052
2187,1478.287081, 1.730136
2188,1480.017759, 1.731220
2189,1481.749521, 1.732304
2190,1483.482367, 1.733388
2191,1485.216296, 1.734471
2192,1486.951309, 1.735554
2193,1488.687404, 1.736637
2194,1490.424583, 1.737720
2195,1492.162845, 1.738803
2196,1493.902189, 1.739886
2197,1495.642616, 1.740968
2198,1497.384125, 1.742050
2199,1499.126716, 1.743132
2200,1500.870390, 1.744214
2201,1502.615145, 1.745296
2202,1504.360982, 1.746378
2203,1506.107900, 1.747459
2204,1507.855900, 1.748540
2205,1509.604980, 1.749621
2206,1511.355142, 1.750702
2207,1513.106384, 1.751783
2208,1514.858707, 1.752863
2209,1516.612110, 1.753943
2210,1518.366593, 1.755023
2211,1520.122157, 1.756103
2212,1521.878799, 1.757183
2213,1523.636522, 1.758262
2214,1525.395324, 1.759341
2215,1527.155204, 1.760420
2216,1528.916164, 1.761499
2217,1530.678202, 1.762578
2218,1532.441319, 1.763656
2219,1534.205514, 1.764734
2220,1535.970787, 1.765812
2221,1537.737138, 1.766890
2222,1539.504566, 1.767967
2223,1541.273072, 1.769044
2224,1543.042655, 1.770121
2225,1544.813314, 1.771198
2226,1546.585051, 1.772274
2227,1548.357863, 1.773351
2228,1550.131752, 1.774427
2229,1551.906717, 1.775502
2230,1553.682757, 1.776578
2231,1555.459873, 1.777653
2232,1557.238063, 1.778728
2233,1559.017329, 1.779803
2234,1560.797669, 1.780878
2235,1562.579084, 1.781952
2236,1564.361573, 1.783026
2237,1566.145136, 1.784100
2238,1567.929772, 1.785173
2239,1569.715482, 1.786246
2240,1571.502265, 1.787319
2241,1573.290121, 1.788392
2242,1575.079049, 1.789464
2243,1576.869049, 1.790537
2244,1578.660122, 1.791608
2245,1580.452266, 1.792680
2246,1582.245482, 1.793751
2247,1584.039769, 1.794822
2248,1585.835126, 1.795893
2249,1587.631555, 1.796964
2250,1589.429054, 1.798034
2251,1591.227622, 1.799104
2252,1593.027261, 1.800173
2253,1594.827969, 1.801243
2254,1596.629746, 1.802312
2255,1598.432592, 1.803380
2256,1600.236507, 1.804449
2257,1602.041490, 1.805517
2258,1603.847541, 1.806585
2259,1605.654660, 1.807653
2260,1607.462846, 1.808720
2261,1609.272099, 1.809787
2262,1611.082419, 1.810853
2263,1612.893806, 1.811920
2264,1614.706259, 1.812986
2265,1616.519777, 1.814051
2266,1618.334362, 1.815117
2267,1620.150011, 1.816182
2268,1621.966726, 1.817247
2269,1623.784505, 1.818311
2270,1625.603348, 1.819375
2271,1627.423255, 1.820439
2272,1629.244227, 1.821503
2273,1631.066261, 1.822566
2274,1632.889359, 1.823629
2275,1634.713519, 1.824691
2276,1636.538741, 1.825754
2277,1638.365026, 1.826816
2278,1640.192373, 1.827877
2279,1642.020780, 1.828938
2280,1643.850249, 1.829999
2281,1645.680779, 1.831060
2282,1647.512369, 1.832120
2283,1649.345020, 1.833180
2284,1651.178730, 1.834240
2285,1653.013499, 1.835299
2286,1654.849328, 1.836358
2287,1656.686215, 1.837417
2288,1658.524161, 1.838475
2289,1660.363165, 1.839533
2290,1662.203226, 1.840590
2291,1664.044345, 1.841648
2292,1665.886521, 1.842704
2293,1667.729754, 1.843761
2294,1669.574043, 1.844817
2295,1671.419388, 1.845873
2296,1673.265789, 1.846928
2297,1675.113245, 1.847984
2298,1676.961756, 1.849038
2299,1678.811321, 1.850093
2300,1680.661941, 1.851147
2301,1682.513615, 1.852201
2302,1684.366342, 1.853254
2303,1686.220123, 1.854307
2304,1688.074956, 1.855360
2305,1689.930842, 1.856412
2306,1691.787780, 1.857464
2307,1693.645770, 1.858516
2308,1695.504811, 1.859567
2309,1697.364903, 1.860618
2310,1699.226046, 1.861668
2311,1701.088240, 1.862718
2312,1702.951483, 1.863768
2313,1704.815776, 1.864818
2314,1706.681118, 1.865867
2315,1708.547509, 1.866915
2316,1710.414949, 1.867964
2317,1712.283437, 1.869012
2318,1714.152972, 1.870059
2319,1716.023555, 1.871107
2320,1717.895185, 1.872153
2321,1719.767862, 1.873200
2322,1721.641585, 1.874246
2323,1723.516354, 1.875292
2324,1725.392168, 1.876337
2325,1727.269028, 1.877382
2326,1729.146932, 1.878427
2327,1731.025881, 1.879471
2328,1732.905874, 1.880515
2329,1734.786911, 1.881559
2330,1736.668991, 1.882602
2331,1738.552114, 1.883644
2332,1740.436280, 1.884687
2333,1742.321488, 1.885729
2334,1744.207738, 1.886771
2335,1746.095029, 1.887812
2336,1747.983361, 1.888853
2337,1749.872734, 1.889893
2338,1751.763148, 1.890933
2339,1753.654601, 1.891973
2340,1755.547094, 1.893013
2341,1757.440626, 1.894052
2342,1759.335197, 1.895090
2343,1761.230806, 1.896128
2344,1763.127453, 1.897166
2345,1765.025139, 1.898204
2346,1766.923861, 1.899241
2347,1768.823620, 1.900278
2348,1770.724416, 1.901314
2349,1772.626248, 1.902350
2350,1774.529116, 1.903386
2351,1776.433019, 1.904421
2352,1778.337957, 1.905456
2353,1780.243930, 1.906490
2354,1782.150937, 1.907524
2355,1784.058978, 1.908558
2356,1785.968052, 1.909591
2357,1787.878159, 1.910624
2358,1789.789300, 1.911656
2359,1791.701472, 1.912689
2360,1793.614677, 1.913720
2361,1795.528913, 1.914752
2362,1797.444180, 1.915783
2363,1799.360478, 1.916813
2364,1801.277806, 1.917844
2365,1803.196165, 1.918873
2366,1805.115553, 1.919903
2367,1807.035970, 1.920932
2368,1808.957417, 1.921961
2369,1810.879891, 1.922989
2370,1812.803394, 1.924017
2371,1814.727925, 1.925044
2372,1816.653483, 1.926072
2373,1818.580068, 1.927098
2374,1820.507679, 1.928125
2375,1822.436317, 1.929151
2376,1824.365981, 1.930176
2377,1826.296670, 1.931202
2378,1828.228384, 1.932226
2379,1830.161123, 1.933251
2380,1832.094886, 1.934275
2381,1834.029672, 1.935299
2382,1835.965483, 1.936322
2383,1837.902317, 1.937345
2384,1839.840173, 1.938368
2385,1841.779052, 1.939390
2386,1843.718952, 1.940412
2387,1845.659875, 1.941433
2388,1847.601818, 1.942454
2389,1849.544783, 1.943475
2390,1851.488768, 1.944495
2391,1853.433773, 1.945515
2392,1855.379797, 1.946534
2393,1857.326841, 1.947554
2394,1859.274905, 1.948572
2395,1861.223986, 1.949591
2396,1863.174086, 1.950609
2397,1865.125204, 1.951626
2398,1867.077339, 1.952644
2399,1869.030491, 1.953661
2400,1870.984660, 1.954677
2401,1872.939845, 1.955693
2402,1874.896046, 1.956709
2403,1876.853263, 1.957724
2404,1878.811495, 1.958739
2405,1880.770741, 1.959754
2406,1882.731002, 1.960768
2407,1884.692278, 1.961782
2408,1886.654567, 1.962796
2409,1888.617869, 1.963809
2410,1890.582184, 1.964822
2411,1892.547512, 1.965834
2412,1894.513852, 1.966846
2413,1896.481204, 1.967858
2414,1898.449567, 1.968869
2415,1900.418941, 1.969880
2416,1902.389326, 1.970890
2417,1904.360722, 1.971901
2418,1906.333127, 1.972910
2419,1908.306542, 1.973920
2420,1910.280967, 1.974929
2421,1912.256400, 1.975938
2422,1914.232842, 1.976946
2423,1916.210292, 1.977954
2424,1918.188750, 1.978962
2425,1920.168215, 1.979969
2426,1922.148687, 1.980976
2427,1924.130166, 1.981982
2428,1926.112652, 1.982988
2429,1928.096143, 1.983994
2430,1930.080640, 1.985000
2431,1932.066143, 1.986005
2432,1934.052650, 1.987010
2433,1936.040162, 1.988014
2434,1938.028678, 1.989018
2435,1940.018197, 1.990022
2436,1942.008721, 1.991025
2437,1944.000247, 1.992028
2438,1945.992777, 1.993031
2439,1947.986308, 1.994033
2440,1949.980842, 1.995035
2441,1951.976378, 1.996036
2442,1953.972915, 1.997038
2443,1955.970453, 1.998038
2444,1957.968991, 1.999039
2445,1959.968530, 2.000039
2446,1961.969069, 2.001039
2447,1963.970608, 2.002038
2448,1965.973146, 2.003038
2449,1967.976683, 2.004036
2450,1969.981219, 2.005035
2451,1971.986753, 2.006033
2452,1973.993284, 2.007031
2453,1976.000814, 2.008028
2454,1978.009340, 2.009025
2455,1980.018864, 2.010022
2456,1982.029384, 2.011018
2457,1984.040900, 2.012014
2458,1986.053413, 2.013010
2459,1988.066921, 2.014006
2460,1990.081424, 2.015001
2461,1992.096922, 2.015995
2462,1994.113415, 2.016990
2463,1996.130901, 2.017984
2464,1998.149382, 2.018978
2465,2000.168857, 2.019971
2466,2002.189324, 2.020964
2467,2004.210785, 2.021957
2468,2006.233238, 2.022949
2469,2008.256684, 2.023942
2470,2010.281121, 2.024933
2471,2012.306551, 2.025925
2472,2014.332971, 2.026916
2473,2016.360383, 2.027907
2474,2018.388785, 2.028897
2475,2020.418177, 2.029888
2476,2022.448560, 2.030878
2477,2024.479933, 2.031867
2478,2026.512294, 2.032856
2479,2028.545645, 2.033845
2480,2030.579985, 2.034834
2481,2032.615313, 2.035822
2482,2034.651630, 2.036810
2483,2036.688934, 2.037798
2484,2038.727226, 2.038786
2485,2040.766506, 2.039773
2486,2042.806772, 2.040760
2487,2044.848025, 2.041746
2488,2046.890264, 2.042732
2489,2048.933489, 2.043718
2490,2050.977700, 2.044704
2491,2053.022897, 2.045689
2492,2055.069079, 2.046674
2493,2057.116245, 2.047659
2494,2059.164396, 2.048643
2495,2061.213532, 2.049628
2496,2063.263651, 2.050611
2497,2065.314755, 2.051595
2498,2067.366841, 2.052578
2499,2069.419911, 2.053561
2500,2071.473964, 2.054544
2501,2073.528999, 2.055526
2502,2075.585016, 2.056509
2503,2077.642016, 2.057490
2504,2079.699997, 2.058472
2505,2081.758960, 2.059453
2506,2083.818904, 2.060434
2507,2085.879828, 2.061415
2508,2087.941733, 2.062396
2509,2090.004619, 2.063376
2510,2092.068485, 2.064356
2511,2094.133330, 2.065335
2512,2096.199155, 2.066315
2513,2098.265960, 2.067294
2514,2100.333743, 2.068273
2515,2102.402505, 2.069251
2516,2104.472245, 2.070230
2517,2106.542964, 2.071208
2518,2108.614660, 2.072185
2519,2110.687335, 2.073163
2520,2112.760986, 2.074140
2521,2114.835615, 2.075117
2522,2116.911221, 2.076094
2523,2118.987803, 2.077071
2524,2121.065362, 2.078047
2525,2123.143896, 2.079023
2526,2125.223407, 2.079999
2527,2127.303894, 2.080974
2528,2129.385355, 2.081949
2529,2131.467792, 2.082924
2530,2133.551204, 2.083899
2531,2135.635591, 2.084874
2532,2137.720952, 2.085848
2533,2139.807287, 2.086822
2534,2141.894596, 2.087796
2535,2143.982878, 2.088770
2536,2146.072135, 2.089743
2537,2148.162364, 2.090716
2538,2150.253566, 2.091689
2539,2152.345742, 2.092662
2540,2154.438889, 2.093634
2541,2156.533010, 2.094606
2542,2158.628102, 2.095578
2543,2160.724166, 2.096550
2544,2162.821201, 2.097521
2545,2164.919208, 2.098493
2546,2167.018187, 2.099464
2547,2169.118136, 2.100435
2548,2171.219056, 2.101405
2549,2173.320947, 2.102376
2550,2175.423807, 2.103346
2551,2177.527638, 2.104316
2552,2179.632439, 2.105286
2553,2181.738210, 2.106255
2554,2183.844950, 2.107225
2555,2185.952660, 2.108194
2556,2188.061338, 2.109163
2557,2190.170985, 2.110132
2558,2192.281601, 2.111100
2559,2194.393186, 2.112069
2560,2196.505739, 2.113037
2561,2198.619259, 2.114005
2562,2200.733748, 2.114973
2563,2202.849205, 2.115940
2564,2204.965629, 2.116908
2565,2207.083020, 2.117875
2566,2209.201378, 2.118842
2567,2211.320703, 2.119809
2568,2213.440995, 2.120775
2569,2215.562254, 2.121742
2570,2217.684479, 2.122708
2571,2219.807670, 2.123674
2572,2221.931827, 2.124640
2573,2224.056950, 2.125606
2574,2226.183039, 2.126571
2575,2228.310093, 2.127537
2576,2230.438113, 2.128502
2577,2232.567097, 2.129467
2578,2234.697047, 2.130432
2579,2236.827961, 2.131397
2580,2238.959840, 2.132361
2581,2241.092684, 2.133326
2582,2243.226491, 2.134290
2583,2245.361263, 2.135254
2584,2247.496999, 2.136218
2585,2249.633699, 2.137182
2586,2251.771362, 2.138145
2587,2253.909989, 2.139109
2588,2256.049580, 2.140072
2589,2258.190133, 2.141035
2590,2260.331650, 2.141998
2591,2262.474129, 2.142961
2592,2264.617571, 2.143924
2593,2266.761976, 2.144886
2594,2268.907344, 2.145849
2595,2271.053673, 2.146811
2596,2273.200965, 2.147773
2597,2275.349219, 2.148735
2598,2277.498435, 2.149697
2599,2279.648612, 2.150658
2600,2281.799752, 2.151620
2601,2283.951852, 2.152581
2602,2286.104914, 2.153543
2603,2288.258938, 2.154504
2604,2290.413922, 2.155465
2605,2292.569868, 2.156426
2606,2294.726774, 2.157387
2607,2296.884641, 2.158347
2608,2299.043469, 2.159308
2609,2301.203257, 2.160268
2610,2303.364005, 2.161229
2611,2305.525714, 2.162189
2612,2307.688383, 2.163149
2613,2309.852012, 2.164109
2614,2312.016601, 2.165069
2615,2314.182150, 2.166029
2616,2316.348659, 2.166988
2617,2318.516127, 2.167948
2618,2320.684554, 2.168907
2619,2322.853941, 2.169867
2620,2325.024288, 2.170826
2621,2327.195593, 2.171785
2622,2329.367858, 2.172744
2623,2331.541081, 2.173703
2624,2333.715264, 2.174662
2625,2335.890405, 2.175621
2626,2338.066505, 2.176579
2627,2340.243564, 2.177538
2628,2342.421581, 2.178496
2629,2344.600556, 2.179455
2630,2346.780490, 2.180413
2631,2348.961383, 2.181371
2632,2351.143233, 2.182330
2633,2353.326042, 2.183288
2634,2355.509808, 2.184246
2635,2357.694533, 2.185204
2636,2359.880215, 2.186161
2637,2362.066856, 2.187119
2638,2364.254454, 2.188077
2639,2366.443009, 2.189034
2640,2368.632523, 2.189992
2641,2370.822993, 2.190950
2642,2373.014422, 2.191907
2643,2375.206807, 2.192864
2644,2377.400150, 2.193822
2645,2379.594450, 2.194779
2646,2381.789708, 2.195736
2647,2383.985922, 2.196693
2648,2386.183094, 2.197650
2649,2388.381223, 2.198607
2650,2390.580309, 2.199564
2651,2392.780351, 2.200521
2652,2394.981351, 2.201478
2653,2397.183307, 2.202435
2654,2399.386220, 2.203392
2655,2401.590090, 2.204348
2656,2403.794917, 2.205305
2657,2406.000700, 2.206262
2658,2408.207440, 2.207218
2659,2410.415136, 2.208175
2660,2412.623789, 2.209131
2661,2414.833398, 2.210088
2662,2417.043964, 2.211044
2663,2419.255487, 2.212000
2664,2421.467965, 2.212957
2665,2423.681400, 2.213913
2666,2425.895792, 2.214870
2667,2428.111139, 2.215826
2668,2430.327443, 2.216782
2669,2432.544703, 2.217738
2670,2434.762920, 2.218695
2671,2436.982093, 2.219651
2672,2439.202221, 2.220607
2673,2441.423306, 2.221563
2674,2443.645348, 2.222519
2675,2445.868345, 2.223475
2676,2448.092298, 2.224431
2677,2450.317208, 2.225388
2678,2452.543073, 2.226344
2679,2454.769895, 2.227300
2680,2456.997673, 2.228256
2681,2459.226407, 2.229212
2682,2461.456097, 2.230168
2683,2463.686743, 2.231124
2684,2465.918345, 2.232080
2685,2468.150903, 2.233036
2686,2470.384417, 2.233992
2687,2472.618888, 2.234948
2688,2474.854314, 2.235904
2689,2477.090696, 2.236860
2690,2479.328035, 2.237817
2691,2481.566329, 2.238773
2692,2483.805580, 2.239729
2693,2486.045787, 2.240685
2694,2488.286950, 2.241641
2695,2490.529069, 2.242597
2696,2492.772144, 2.243553
2697,2495.016176, 2.244509
2698,2497.261163, 2.245466
2699,2499.507107, 2.246422
2700,2501.754007, 2.247378
2701,2504.001863, 2.248334
2702,2506.250676, 2.249291
2703,2508.500445, 2.250247
2704,2510.751170, 2.251203
2705,2513.002851, 2.252160
2706,2515.255489, 2.253116
2707,2517.509083, 2.254073
2708,2519.763634, 2.255029
2709,2522.019141, 2.255985
2710,2524.275605, 2.256942
2711,2526.533025, 2.257899
2712,2528.791402, 2.258855
2713,2531.050736, 2.259812
2714,2533.311026, 2.260768
2715,2535.572273, 2.261725
2716,2537.834476, 2.262682
2717,2540.097637, 2.263639
2718,2542.361754, 2.264596
2719,2544.626828, 2.265553
2720,2546.892859, 2.266510
2721,2549.159847, 2.267467
2722,2551.427792, 2.268424
2723,2553.696694, 2.269381
2724,2555.966554, 2.270338
2725,2558.237370, 2.271295
2726,2560.509144, 2.272252
2727,2562.781875, 2.273210
2728,2565.055563, 2.274167
2729,2567.330209, 2.275125
2730,2569.605812, 2.276082
2731,2571.882373, 2.277040
2732,2574.159891, 2.277997
2733,2576.438367, 2.278955
2734,2578.717801, 2.279913
2735,2580.998193, 2.280871
2736,2583.279542, 2.281828
2737,2585.561850, 2.282786
2738,2587.845115, 2.283744
2739,2590.129339, 2.284703
2740,2592.414520, 2.285661
2741,2594.700660, 2.286619
2742,2596.987758, 2.287577
2743,2599.275815, 2.288536
2744,2601.564830, 2.289494
2745,2603.854804, 2.290453
2746,2606.145736, 2.291412
2747,2608.437627, 2.292370
2748,2610.730476, 2.293329
2749,2613.024285, 2.294288
2750,2615.319053, 2.295247
2751,2617.614779, 2.296206
2752,2619.911465, 2.297165
2753,2622.209110, 2.298125
2754,2624.507714, 2.299084
2755,2626.807277, 2.300043
2756,2629.107800, 2.301003
2757,2631.409283, 2.301962
2758,2633.711725, 2.302922
2759,2636.015127, 2.303882
2760,2638.319489, 2.304842
2761,2640.624811, 2.305802
2762,2642.931093, 2.306762
2763,2645.238335, 2.307722
2764,2647.546537, 2.308682
2765,2649.855700, 2.309643
2766,2652.165823, 2.310603
2767,2654.476907, 2.311564
2768,2656.788951, 2.312525
2769,2659.101956, 2.313486
2770,2661.415922, 2.314446
2771,2663.730849, 2.315408
2772,2666.046738, 2.316369
2773,2668.363587, 2.317330
2774,2670.681397, 2.318291
2775,2673.000169, 2.319253
2776,2675.319903, 2.320214
2777,2677.640598, 2.321176
2778,2679.962255, 2.322138
2779,2682.284874, 2.323100
2780,2684.608455, 2.324062
2781,2686.932998, 2.325024
2782,2689.258503, 2.325986
2783,2691.584970, 2.326949
2784,2693.912401, 2.327911
2785,2696.240793, 2.328874
2786,2698.570148, 2.329837
2787,2700.900467, 2.330800
2788,2703.231748, 2.331763
2789,2705.563992, 2.332726
2790,2707.897199, 2.333689
2791,2710.231370, 2.334652
2792,2712.566504, 2.335616
2793,2714.902602, 2.336580
2794,2717.239663, 2.337543
2795,2719.577689, 2.338507
2796,2721.916678, 2.339471
2797,2724.256632, 2.340436
2798,2726.597549, 2.341400
2799,2728.939431, 2.342364
2800,2731.282278, 2.343329
2801,2733.626089, 2.344294
2802,2735.970865, 2.345258
2803,2738.316606, 2.346223
2804,2740.663312, 2.347189
2805,2743.010983, 2.348154
2806,2745.359620, 2.349119
2807,2747.709222, 2.350085
2808,2750.059789, 2.351050
2809,2752.411323, 2.352016
2810,2754.763822, 2.352982
2811,2757.117287, 2.353948
2812,2759.471719, 2.354915
2813,2761.827117, 2.355881
2814,2764.183481, 2.356848
2815,2766.540812, 2.357814
2816,2768.899110, 2.358781
2817,2771.258374, 2.359748
2818,2773.618606, 2.360715
2819,2775.979805, 2.361683
2820,2778.341971, 2.362650
2821,2780.705105, 2.363618
2822,2783.069206, 2.364585
2823,2785.434275, 2.365553
2824,2787.800312, 2.366521
2825,2790.167318, 2.367489
2826,2792.535291, 2.368458
2827,2794.904233, 2.369426
2828,2797.274144, 2.370395
2829,2799.645023, 2.371364
2830,2802.016871, 2.372333
2831,2804.389689, 2.373302
2832,2806.763475, 2.374271
2833,2809.138231, 2.375241
2834,2811.513956, 2.376210
2835,2813.890651, 2.377180
2836,2816.268316, 2.378150
2837,2818.646951, 2.379120
2838,2821.026556, 2.380090
2839,2823.407131, 2.381061
2840,2825.788677, 2.382031
2841,2828.171193, 2.383002
2842,2830.554681, 2.383973
2843,2832.939139, 2.384944
2844,2835.324568, 2.385915
2845,2837.710969, 2.386886
2846,2840.098341, 2.387858
2847,2842.486685, 2.388830
2848,2844.876001, 2.389802
2849,2847.266288, 2.390774
2850,2849.657548, 2.391746
2851,2852.049780, 2.392718
2852,2854.442984, 2.393691
2853,2856.837161, 2.394663
2854,2859.232311, 2.395636
2855,2861.628434, 2.396609
2856,2864.025530, 2.397583
2857,2866.423599, 2.398556
2858,2868.822642, 2.399530
2859,2871.222658, 2.400503
2860,2873.623649, 2.401477
2861,2876.025613, 2.402451
2862,2878.428551, 2.403426
2863,2880.832464, 2.404400
2864,2883.237352, 2.405375
2865,2885.643214, 2.406349
2866,2888.050050, 2.407324
2867,2890.457862, 2.408299
2868,2892.866649, 2.409275
2869,2895.276412, 2.410250
2870,2897.687150, 2.411226
2871,2900.098864, 2.412202
2872,2902.511553, 2.413178
2873,2904.925219, 2.414154
2874,2907.339861, 2.415130
2875,2909.755480, 2.416107
2876,2912.172075, 2.417084
2877,2914.589647, 2.418060
2878,2917.008196, 2.419037
2879,2919.427722, 2.420015
2880,2921.848226, 2.420992
2881,2924.269706, 2.421970
2882,2926.692165, 2.422948
2883,2929.115602, 2.423926
2884,2931.540016, 2.424904
2885,2933.965409, 2.425882
2886,2936.391780, 2.426860
2887,2938.819130, 2.427839
2888,2941.247459, 2.428818
2889,2943.676766, 2.429797
2890,2946.107053, 2.430776
2891,2948.538319, 2.431756
2892,2950.970564, 2.432735
2893,2953.403790, 2.433715
2894,2955.837995, 2.434695
2895,2958.273180, 2.435675
2896,2960.709345, 2.436656
2897,2963.146491, 2.437636
2898,2965.584617, 2.438617
2899,2968.023724, 2.439598
2900,2970.463812, 2.440579
2901,2972.904882, 2.441560
2902,2975.346932, 2.442541
2903,2977.789964, 2.443523
2904,2980.233978, 2.444505
2905,2982.678973, 2.445487
2906,2985.124951, 2.446469
2907,2987.571911, 2.447451
2908,2990.019853, 2.448434
2909,2992.468778, 2.449416
2910,2994.918686, 2.450399
2911,2997.369577, 2.451382
2912,2999.821451, 2.452366
2913,3002.274308, 2.453349
2914,3004.728149, 2.454333
2915,3007.182973, 2.455316
2916,3009.638782, 2.456300
2917,3012.095574, 2.457285
2918,3014.553351, 2.458269
2919,3017.012112, 2.459253
2920,3019.471858, 2.460238
2921,3021.932588, 2.461223
2922,3024.394304, 2.462208
2923,3026.857005, 2.463194
2924,3029.320691, 2.464179
2925,3031.785363, 2.465165
2926,3034.251021, 2.466150
2927,3036.717664, 2.467137
2928,3039.185294, 2.468123
2929,3041.653909, 2.469109
2930,3044.123512, 2.470096
2931,3046.594101, 2.471082
2932,3049.065677, 2.472069
2933,3051.538240, 2.473057
2934,3054.011790, 2.474044
2935,3056.486328, 2.475031
2936,3058.961853, 2.476019
2937,3061.438366, 2.477007
2938,3063.915867, 2.477995
2939,3066.394356, 2.478983
2940,3068.873833, 2.479972
2941,3071.354299, 2.480960
2942,3073.835753, 2.481949
2943,3076.318197, 2.482938
2944,3078.801629, 2.483927
2945,3081.286051, 2.484916
2946,3083.771462, 2.485906
2947,3086.257863, 2.486896
2948,3088.745254, 2.487886
2949,3091.233634, 2.488876
2950,3093.723005, 2.489866
2951,3096.213366, 2.490856
2952,3098.704718, 2.491847
2953,3101.197060, 2.492838
2954,3103.690393, 2.493829
2955,3106.184718, 2.494820
2956,3108.680033, 2.495811
2957,3111.176340, 2.496803
2958,3113.673639, 2.497794
2959,3116.171929, 2.498786
2960,3118.671211, 2.499778
2961,3121.171486, 2.500771
2962,3123.672753, 2.501763
2963,3126.175012, 2.502756
2964,3128.678264, 2.503748
2965,3131.182509, 2.504741
2966,3133.687747, 2.505735
2967,3136.193978, 2.506728
2968,3138.701203, 2.507721
2969,3141.209421, 2.508715
2970,3143.718633, 2.509709
2971,3146.228839, 2.510703
2972,3148.740039, 2.511697
2973,3151.252233, 2.512692
2974,3153.765422, 2.513686
2975,3156.279606, 2.514681
2976,3158.794784, 2.515676
2977,3161.310958, 2.516671
2978,3163.828126, 2.517666
2979,3166.346290, 2.518662
2980,3168.865449, 2.519657
2981,3171.385605, 2.520653
2982,3173.906756, 2.521649
2983,3176.428903, 2.522645
2984,3178.952046, 2.523642
2985,3181.476186, 2.524638
2986,3184.001322, 2.525635
2987,3186.527455, 2.526632
2988,3189.054585, 2.527629
2989,3191.582712, 2.528626
2990,3194.111837, 2.529623
2991,3196.641959, 2.530621
2992,3199.173078, 2.531618
2993,3201.705196, 2.532616
2994,3204.238311, 2.533614
2995,3206.772424, 2.534612
2996,3209.307536, 2.535611
2997,3211.843646, 2.536609
2998,3214.380755, 2.537608
2999,3216.918862, 2.538607
3000,3219.457969, 2.539606
3001,3221.998074, 2.540605
3002,3224.539179, 2.541605
3003,3227.081284, 2.542604
3004,3229.624388, 2.543604
3005,3232.168492, 2.544604
3006,3234.713596, 2.545604
3007,3237.259700, 2.546604
3008,3239.806804, 2.547605
3009,3242.354909, 2.548605
3010,3244.904014, 2.549606
3011,3247.454121, 2.550607
3012,3250.005228, 2.551608
3013,3252.557336, 2.552609
3014,3255.110446, 2.553610
3015,3257.664557, 2.554612
3016,3260.219669, 2.555613
3017,3262.775784, 2.556615
3018,3265.332900, 2.557617
3019,3267.891018, 2.558620
3020,3270.450139, 2.559622
3021,3273.010262, 2.560624
3022,3275.571388, 2.561627
3023,3278.133516, 2.562630
3024,3280.696647, 2.563633
3025,3283.260782, 2.564636
3026,3285.825919, 2.565639
3027,3288.392060, 2.566642
3028,3290.959204, 2.567646
3029,3293.527352, 2.568650
3030,3296.096504, 2.569654
3031,3298.666659, 2.570658
3032,3301.237819, 2.571662
3033,3303.809983, 2.572666
3034,3306.383152, 2.573671
3035,3308.957325, 2.574675
3036,3311.532503, 2.575680
3037,3314.108685, 2.576685
3038,3316.685873, 2.577690
3039,3319.264066, 2.578695
3040,3321.843264, 2.579701
3041,3324.423467, 2.580706
3042,3327.004677, 2.581712
3043,3329.586891, 2.582718
3044,3332.170112, 2.583724
3045,3334.754339, 2.584730
3046,3337.339572, 2.585736
3047,3339.925812, 2.586743
3048,3342.513058, 2.587749
3049,3345.101310, 2.588756
3050,3347.690569, 2.589763
3051,3350.280836, 2.590770
3052,3352.872109, 2.591777
3053,3355.464389, 2.592784
3054,3358.057677, 2.593791
3055,3360.651972, 2.594799
3056,3363.247275, 2.595807
3057,3365.843586, 2.596815
3058,3368.440904, 2.597822
3059,3371.039231, 2.598831
3060,3373.638565, 2.599839
3061,3376.238908, 2.600847
3062,3378.840260, 2.601856
3063,3381.442620, 2.602864
3064,3384.045988, 2.603873
3065,3386.650366, 2.604882
3066,3389.255752, 2.605891
3067,3391.862148, 2.606900
3068,3394.469552, 2.607909
3069,3397.077967, 2.608919
