q,h,dh,l,dl,f,df,s,m
1844,948.353173, 1.366883, 1.091570,-0.012258,947.261603, 1.379140,949.444743,948.353173
1845,949.720541, 1.367853, 1.079375,-0.012131,948.641166, 1.379984,950.799916,949.720541
1846,951.088880, 1.368824, 1.067307,-0.012006,950.021573, 1.380830,952.156187,951.088880
1847,952.458190, 1.369796, 1.055363,-0.011882,951.402827, 1.381678,953.513553,952.458190
1848,953.828472, 1.370769, 1.043543,-0.011759,952.784929, 1.382528,954.872015,953.828472
1849,955.199728, 1.371743, 1.031845,-0.011637,954.167883, 1.383380,956.231573,955.199728
1850,956.571958, 1.372717, 1.020269,-0.011516,955.551689, 1.384233,957.592226,956.571958
1851,957.945162, 1.373692, 1.008812,-0.011397,956.936350, 1.385089,958.953974,957.945162
1852,959.319342, 1.374668, 0.997475,-0.011278,958.321868, 1.385946,960.316817,959.319342
1853,960.694499, 1.375645, 0.986255,-0.011161,959.708244, 1.386806,961.680754,960.694499
1854,962.070632, 1.376622, 0.975152,-0.011045,961.095480, 1.387667,963.045784,962.070632
1855,963.447744, 1.377601, 0.964165,-0.010930,962.483579, 1.388531,964.411909,963.447744
1856,964.825834, 1.378580, 0.953292,-0.010816,963.872542, 1.389396,965.779126,964.825834
1857,966.204904, 1.379560, 0.942533,-0.010703,965.262371, 1.390263,967.147437,966.204904
1858,967.584954, 1.380541, 0.931886,-0.010591,966.653068, 1.391132,968.516840,967.584954
1859,968.965985, 1.381522, 0.921350,-0.010480,968.044635, 1.392002,969.887336,968.965985
1860,970.347999, 1.382504, 0.910925,-0.010370,969.437073, 1.392875,971.258924,970.347999
1861,971.730994, 1.383487, 0.900609,-0.010262,970.830385, 1.393749,972.631604,971.730994
1862,973.114974, 1.384471, 0.890401,-0.010154,972.224572, 1.394625,974.005375,973.114974
1863,974.499937, 1.385456, 0.880301,-0.010047,973.619637, 1.395503,975.380238,974.499937
1864,975.885886, 1.386441, 0.870306,-0.009942,975.015580, 1.396383,976.756192,975.885886
1865,977.272820, 1.387428, 0.860416,-0.009837,976.412404, 1.397265,978.133237,977.272820
1866,978.660741, 1.388414, 0.850631,-0.009734,977.810110, 1.398148,979.511372,978.660741
1867,980.049649, 1.389402, 0.840949,-0.009631,979.208701, 1.399033,980.890598,980.049649
1868,981.439546, 1.390391, 0.831369,-0.009529,980.608177, 1.399920,982.270914,981.439546
1869,982.830431, 1.391380, 0.821890,-0.009429,982.008541, 1.400809,983.652321,982.830431
1870,984.222306, 1.392370, 0.812511,-0.009329,983.409795, 1.401699,985.034817,984.222306
1871,985.615171, 1.393361, 0.803231,-0.009230,984.811940, 1.402591,986.418403,985.615171
1872,987.009028, 1.394352, 0.794050,-0.009133,986.214978, 1.403485,987.803078,987.009028
1873,988.403876, 1.395345, 0.784966,-0.009036,987.618911, 1.404380,989.188842,988.403876
1874,989.799718, 1.396338, 0.775978,-0.008940,989.023740, 1.405278,990.575696,989.799718
1875,991.196552, 1.397332, 0.767086,-0.008845,990.429467, 1.406177,991.963638,991.196552
1876,992.594381, 1.398326, 0.758288,-0.008751,991.836093, 1.407077,993.352669,992.594381
1877,993.993205, 1.399322, 0.749584,-0.008658,993.243621, 1.407979,994.742789,993.993205
1878,995.393025, 1.400318, 0.740972,-0.008565,994.652052, 1.408883,996.133997,995.393025
1879,996.793841, 1.401315, 0.732453,-0.008474,996.061388, 1.409789,997.526294,996.793841
1880,998.195654, 1.402312, 0.724024,-0.008384,997.471630, 1.410696,998.919678,998.195654
1881,999.598466, 1.403311, 0.715685,-0.008294,998.882780, 1.411605,1000.314151,999.598466
1882,1001.002276, 1.404310, 0.707436,-0.008205,1000.294840, 1.412515,1001.709711,1001.002276
1883,1002.407085, 1.405310, 0.699274,-0.008117,1001.707811, 1.413427,1003.106360,1002.407085
1884,1003.812895, 1.406310, 0.691201,-0.008030,1003.121694, 1.414341,1004.504095,1003.812895
1885,1005.219706, 1.407311, 0.683213,-0.007944,1004.536492, 1.415256,1005.902919,1005.219706
1886,1006.627518, 1.408313, 0.675312,-0.007859,1005.952206, 1.416173,1007.302830,1006.627518
1887,1008.036333, 1.409316, 0.667495,-0.007775,1007.368838, 1.417091,1008.703828,1008.036333
1888,1009.446151, 1.410320, 0.659762,-0.007691,1008.786389, 1.418011,1010.105913,1009.446151
1889,1010.856973, 1.411324, 0.652113,-0.007608,1010.204860, 1.418932,1011.509085,1010.856973
1890,1012.268799, 1.412329, 0.644545,-0.007526,1011.624254, 1.419855,1012.913344,1012.268799
1891,1013.681631, 1.413335, 0.637060,-0.007445,1013.044571, 1.420780,1014.318691,1013.681631
1892,1015.095469, 1.414341, 0.629655,-0.007365,1014.465813, 1.421706,1015.725124,1015.095469
1893,1016.510313, 1.415348, 0.622330,-0.007285,1015.887983, 1.422633,1017.132644,1016.510313
1894,1017.926165, 1.416356, 0.615085,-0.007206,1017.311080, 1.423562,1018.541250,1017.926165
1895,1019.343026, 1.417365, 0.607918,-0.007128,1018.735108, 1.424493,1019.950944,1019.343026
1896,1020.760895, 1.418374, 0.600828,-0.007051,1020.160067, 1.425425,1021.361723,1020.760895
1897,1022.179774, 1.419384, 0.593816,-0.006974,1021.585958, 1.426358,1022.773590,1022.179774
1898,1023.599663, 1.420395, 0.586879,-0.006899,1023.012784, 1.427293,1024.186542,1023.599663
1899,1025.020564, 1.421406, 0.580018,-0.006824,1024.440546, 1.428230,1025.600582,1025.020564
1900,1026.442476, 1.422418, 0.573231,-0.006749,1025.869244, 1.429168,1027.015707,1026.442476
1901,1027.865400, 1.423431, 0.566519,-0.006676,1027.298882, 1.430107,1028.431919,1027.865400
1902,1029.289338, 1.424445, 0.559879,-0.006603,1028.729459, 1.431048,1029.849217,1029.289338
1903,1030.714290, 1.425459, 0.553312,-0.006531,1030.160978, 1.431990,1031.267602,1030.714290
1904,1032.140256, 1.426474, 0.546817,-0.006460,1031.593439, 1.432934,1032.687073,1032.140256
1905,1033.567237, 1.427489, 0.540392,-0.006389,1033.026845, 1.433879,1034.107629,1033.567237
1906,1034.995235, 1.428506, 0.534038,-0.006319,1034.461197, 1.434825,1035.529273,1034.995235
1907,1036.424249, 1.429523, 0.527753,-0.006250,1035.896496, 1.435773,1036.952002,1036.424249
1908,1037.854280, 1.430540, 0.521537,-0.006182,1037.332743, 1.436722,1038.375817,1037.854280
1909,1039.285330, 1.431559, 0.515390,-0.006114,1038.769940, 1.437672,1039.800719,1039.285330
1910,1040.717398, 1.432578, 0.509309,-0.006047,1040.208088, 1.438624,1041.226707,1040.717398
1911,1042.150485, 1.433597, 0.503296,-0.005980,1041.647189, 1.439578,1042.653781,1042.150485
1912,1043.584592, 1.434618, 0.497349,-0.005914,1043.087244, 1.440532,1044.081941,1043.584592
1913,1045.019721, 1.435639, 0.491467,-0.005849,1044.528254, 1.441488,1045.511187,1045.019721
1914,1046.455870, 1.436660, 0.485650,-0.005785,1045.970220, 1.442445,1046.941520,1046.455870
1915,1047.893042, 1.437683, 0.479897,-0.005721,1047.413145, 1.443404,1048.372939,1047.893042
1916,1049.331236, 1.438706, 0.474208,-0.005658,1048.857029, 1.444364,1049.805444,1049.331236
1917,1050.770454, 1.439730, 0.468581,-0.005595,1050.301873, 1.445325,1051.239035,1050.770454
1918,1052.210696, 1.440754, 0.463017,-0.005533,1051.747679, 1.446287,1052.673712,1052.210696
1919,1053.651962, 1.441779, 0.457514,-0.005472,1053.194448, 1.447251,1054.109476,1053.651962
1920,1055.094254, 1.442805, 0.452072,-0.005412,1054.642182, 1.448216,1055.546326,1055.094254
1921,1056.537572, 1.443831, 0.446691,-0.005351,1056.090881, 1.449183,1056.984262,1056.537572
1922,1057.981916, 1.444858, 0.441369,-0.005292,1057.540547, 1.450150,1058.423285,1057.981916
1923,1059.427288, 1.445886, 0.436106,-0.005233,1058.991182, 1.451119,1059.863394,1059.427288
1924,1060.873688, 1.446914, 0.430902,-0.005175,1060.442785, 1.452089,1061.304590,1060.873688
1925,1062.321116, 1.447943, 0.425756,-0.005117,1061.895360, 1.453060,1062.746872,1062.321116
1926,1063.769574, 1.448972, 0.420667,-0.005060,1063.348906, 1.454033,1064.190241,1063.769574
1927,1065.219061, 1.450003, 0.415635,-0.005004,1064.803426, 1.455006,1065.634696,1065.219061
1928,1066.669579, 1.451033, 0.410659,-0.004948,1066.258920, 1.455981,1067.080238,1066.669579
1929,1068.121128, 1.452065, 0.405739,-0.004893,1067.715389, 1.456958,1068.526867,1068.121128
1930,1069.573709, 1.453097, 0.400874,-0.004838,1069.172835, 1.457935,1069.974582,1069.573709
1931,1071.027322, 1.454130, 0.396063,-0.004784,1070.631259, 1.458913,1071.423385,1071.027322
1932,1072.481968, 1.455163, 0.391306,-0.004730,1072.090662, 1.459893,1072.873274,1072.481968
1933,1073.937648, 1.456197, 0.386602,-0.004677,1073.551046, 1.460874,1074.324250,1073.937648
1934,1075.394362, 1.457231, 0.381951,-0.004625,1075.012411, 1.461856,1075.776313,1075.394362
1935,1076.852111, 1.458267, 0.377353,-0.004573,1076.474758, 1.462839,1077.229463,1076.852111
1936,1078.310895, 1.459302, 0.372806,-0.004521,1077.938089, 1.463824,1078.683701,1078.310895
1937,1079.770715, 1.460339, 0.368310,-0.004470,1079.402406, 1.464809,1080.139025,1079.770715
1938,1081.231573, 1.461376, 0.363865,-0.004420,1080.867708, 1.465796,1081.595437,1081.231573
1939,1082.693467, 1.462413, 0.359470,-0.004370,1082.333997, 1.466783,1083.052937,1082.693467
1940,1084.156399, 1.463451, 0.355124,-0.004321,1083.801275, 1.467772,1084.511523,1084.156399
1941,1085.620370, 1.464490, 0.350828,-0.004272,1085.269542, 1.468762,1085.971198,1085.620370
1942,1087.085380, 1.465529, 0.346580,-0.004224,1086.738800, 1.469753,1087.431960,1087.085380
1943,1088.551429, 1.466569, 0.342380,-0.004176,1088.209049, 1.470745,1088.893809,1088.551429
1944,1090.018519, 1.467610, 0.338228,-0.004129,1089.680291, 1.471739,1090.356747,1090.018519
1945,1091.486649, 1.468651, 0.334123,-0.004082,1091.152526, 1.472733,1091.820772,1091.486649
1946,1092.955821, 1.469693, 0.330064,-0.004035,1092.625757, 1.473728,1093.285885,1092.955821
1947,1094.426035, 1.470735, 0.326052,-0.003990,1094.099983, 1.474725,1094.752087,1094.426035
1948,1095.897291, 1.471778, 0.322085,-0.003944,1095.575206, 1.475722,1096.219376,1095.897291
1949,1097.369591, 1.472821, 0.318163,-0.003899,1097.051428, 1.476721,1097.687754,1097.369591
1950,1098.842934, 1.473865, 0.314286,-0.003855,1098.528648, 1.477720,1099.157220,1098.842934
1951,1100.317322, 1.474910, 0.310453,-0.003811,1100.006869, 1.478721,1100.627775,1100.317322
1952,1101.792754, 1.475955, 0.306664,-0.003767,1101.486090, 1.479722,1102.099418,1101.792754
1953,1103.269232, 1.477001, 0.302918,-0.003724,1102.966314, 1.480725,1103.572150,1103.269232
1954,1104.746756, 1.478047, 0.299215,-0.003682,1104.447541, 1.481729,1105.045971,1104.746756
1955,1106.225326, 1.479094, 0.295554,-0.003640,1105.929772, 1.482733,1106.520880,1106.225326
1956,1107.704943, 1.480141, 0.291935,-0.003598,1107.413008, 1.483739,1107.996879,1107.704943
1957,1109.185608, 1.481189, 0.288358,-0.003557,1108.897250, 1.484746,1109.473966,1109.185608
1958,1110.667321, 1.482237, 0.284822,-0.003516,1110.382500, 1.485753,1110.952143,1110.667321
1959,1112.150083, 1.483286, 0.281326,-0.003476,1111.868757, 1.486762,1112.431409,1112.150083
1960,1113.633894, 1.484336, 0.277870,-0.003436,1113.356024, 1.487771,1113.911764,1113.633894
1961,1115.118755, 1.485386, 0.274454,-0.003396,1114.844300, 1.488782,1115.393209,1115.118755
1962,1116.604666, 1.486436, 0.271078,-0.003357,1116.333588, 1.489793,1116.875743,1116.604666
1963,1118.091627, 1.487487, 0.267740,-0.003318,1117.823887, 1.490806,1118.359368,1118.091627
1964,1119.579641, 1.488539, 0.264441,-0.003280,1119.315200, 1.491819,1119.844082,1119.579641
1965,1121.068706, 1.489591, 0.261180,-0.003242,1120.807526, 1.492833,1121.329886,1121.068706
1966,1122.558823, 1.490644, 0.257956,-0.003205,1122.300867, 1.493849,1122.816780,1122.558823
1967,1124.049994, 1.491697, 0.254770,-0.003168,1123.795224, 1.494865,1124.304764,1124.049994
1968,1125.542217, 1.492751, 0.251621,-0.003131,1125.290597, 1.495882,1125.793838,1125.542217
1969,1127.035495, 1.493805, 0.248508,-0.003095,1126.786987, 1.496900,1127.284003,1127.035495
1970,1128.529827, 1.494860, 0.245431,-0.003059,1128.284396, 1.497918,1128.775259,1128.529827
1971,1130.025215, 1.495915, 0.242390,-0.003023,1129.782825, 1.498938,1130.267605,1130.025215
1972,1131.521657, 1.496970, 0.239384,-0.002988,1131.282273, 1.499959,1131.761041,1131.521657
1973,1133.019156, 1.498027, 0.236413,-0.002953,1132.782742, 1.500980,1133.255569,1133.019156
1974,1134.517711, 1.499083, 0.233477,-0.002919,1134.284234, 1.502003,1134.751188,1134.517711
1975,1136.017323, 1.500141, 0.230575,-0.002885,1135.786748, 1.503026,1136.247898,1136.017323
1976,1137.517992, 1.501198, 0.227707,-0.002851,1137.290285, 1.504050,1137.745699,1137.517992
1977,1139.019719, 1.502256, 0.224872,-0.002818,1138.794847, 1.505075,1139.244591,1139.019719
1978,1140.522505, 1.503315, 0.222070,-0.002785,1140.300435, 1.506100,1140.744575,1140.522505
1979,1142.026349, 1.504374, 0.219301,-0.002753,1141.807048, 1.507127,1142.245651,1142.026349
1980,1143.531253, 1.505434, 0.216565,-0.002721,1143.314689, 1.508154,1143.747818,1143.531253
1981,1145.037217, 1.506494, 0.213860,-0.002689,1144.823357, 1.509182,1145.251077,1145.037217
1982,1146.544241, 1.507554, 0.211187,-0.002657,1146.333054, 1.510211,1146.755428,1146.544241
1983,1148.052326, 1.508615, 0.208546,-0.002626,1147.843780, 1.511241,1148.260871,1148.052326
1984,1149.561471, 1.509677, 0.205935,-0.002595,1149.355537, 1.512272,1149.767406,1149.561471
1985,1151.071679, 1.510739, 0.203355,-0.002565,1150.868324, 1.513303,1151.275034,1151.071679
1986,1152.582949, 1.511801, 0.200805,-0.002535,1152.382143, 1.514335,1152.783754,1152.582949
1987,1154.095281, 1.512864, 0.198286,-0.002505,1153.896995, 1.515368,1154.293567,1154.095281
1988,1155.608676, 1.513927, 0.195796,-0.002475,1155.412880, 1.516402,1155.804472,1155.608676
1989,1157.123135, 1.514991, 0.193335,-0.002446,1156.929800, 1.517437,1157.316470,1157.123135
1990,1158.638658, 1.516055, 0.190904,-0.002417,1158.447754, 1.518472,1158.829562,1158.638658
1991,1160.155245, 1.517119, 0.188501,-0.002389,1159.966744, 1.519508,1160.343746,1160.155245
1992,1161.672896, 1.518184, 0.186127,-0.002360,1161.486770, 1.520545,1161.859023,1161.672896
1993,1163.191613, 1.519250, 0.183780,-0.002332,1163.007833, 1.521582,1163.375394,1163.191613
1994,1164.711396, 1.520316, 0.181462,-0.002305,1164.529934, 1.522620,1164.892858,1164.711396
1995,1166.232245, 1.521382, 0.179171,-0.002277,1166.053074, 1.523659,1166.411415,1166.232245
1996,1167.754160, 1.522449, 0.176907,-0.002250,1167.577253, 1.524699,1167.931067,1167.754160
1997,1169.277142, 1.523516, 0.174670,-0.002224,1169.102472, 1.525739,1169.451812,1169.277142
1998,1170.801192, 1.524583, 0.172459,-0.002197,1170.628732, 1.526781,1170.973651,1170.801192
1999,1172.326309, 1.525651, 0.170275,-0.002171,1172.156034, 1.527822,1172.496584,1172.326309
2000,1173.852494, 1.526720, 0.168117,-0.002145,1173.684377, 1.528865,1174.020611,1173.852494
2001,1175.379748, 1.527788, 0.165984,-0.002120,1175.213764, 1.529908,1175.545732,1175.379748
2002,1176.908071, 1.528857, 0.163877,-0.002094,1176.744193, 1.530952,1177.071948,1176.908071
2003,1178.437463, 1.529927, 0.161795,-0.002069,1178.275668, 1.531996,1178.599258,1178.437463
2004,1179.967925, 1.530997, 0.159738,-0.002045,1179.808187, 1.533042,1180.127663,1179.967925
2005,1181.499457, 1.532067, 0.157706,-0.002020,1181.341751, 1.534088,1181.657163,1181.499457
2006,1183.032060, 1.533138, 0.155698,-0.001996,1182.876362, 1.535134,1183.187757,1183.032060
2007,1184.565733, 1.534209, 0.153713,-0.001972,1184.412020, 1.536181,1184.719446,1184.565733
2008,1186.100478, 1.535281, 0.151753,-0.001949,1185.948725, 1.537229,1186.252231,1186.100478
2009,1187.636294, 1.536352, 0.149816,-0.001925,1187.486478, 1.538278,1187.786111,1187.636294
2010,1189.173183, 1.537425, 0.147903,-0.001902,1189.025280, 1.539327,1189.321085,1189.173183
2011,1190.711144, 1.538497, 0.146012,-0.001879,1190.565132, 1.540376,1190.857156,1190.711144
2012,1192.250178, 1.539570, 0.144144,-0.001857,1192.106033, 1.541427,1192.394322,1192.250178
2013,1193.790284, 1.540644, 0.142299,-0.001834,1193.647986, 1.542478,1193.932583,1193.790284
2014,1195.331465, 1.541717, 0.140476,-0.001812,1195.190989, 1.543529,1195.471940,1195.331465
2015,1196.873719, 1.542791, 0.138674,-0.001790,1196.735045, 1.544582,1197.012393,1196.873719
2016,1198.417048, 1.543866, 0.136895,-0.001769,1198.280153, 1.545634,1198.553942,1198.417048
2017,1199.961451, 1.544940, 0.135137,-0.001747,1199.826314, 1.546688,1200.096588,1199.961451
2018,1201.506929, 1.546016, 0.133400,-0.001726,1201.373528, 1.547742,1201.640329,1201.506929
2019,1203.053482, 1.547091, 0.131684,-0.001705,1202.921797, 1.548796,1203.185166,1203.053482
2020,1204.601111, 1.548167, 0.129989,-0.001685,1204.471121, 1.549851,1204.731100,1204.601111
2021,1206.149816, 1.549243, 0.128315,-0.001664,1206.021501, 1.550907,1206.278131,1206.149816
2022,1207.699597, 1.550319, 0.126661,-0.001644,1207.572936, 1.551963,1207.826258,1207.699597
2023,1209.250454, 1.551396, 0.125027,-0.001624,1209.125428, 1.553020,1209.375481,1209.250454
2024,1210.802389, 1.552473, 0.123413,-0.001604,1210.678976, 1.554078,1210.925802,1210.802389
2025,1212.355401, 1.553551, 0.121818,-0.001585,1212.233583, 1.555135,1212.477219,1212.355401
2026,1213.909491, 1.554628, 0.120243,-0.001566,1213.789248, 1.556194,1214.029734,1213.909491
2027,1215.464658, 1.555706, 0.118687,-0.001546,1215.345971, 1.557253,1215.583345,1215.464658
2028,1217.020904, 1.556785, 0.117150,-0.001528,1216.903754, 1.558312,1217.138054,1217.020904
2029,1218.578228, 1.557864, 0.115632,-0.001509,1218.462596, 1.559372,1218.693860,1218.578228
2030,1220.136631, 1.558942, 0.114132,-0.001491,1220.022499, 1.560433,1220.250763,1220.136631
2031,1221.696113, 1.560022, 0.112651,-0.001472,1221.583462, 1.561494,1221.808763,1221.696113
2032,1223.256674, 1.561101, 0.111187,-0.001454,1223.145487, 1.562556,1223.367862,1223.256674
2033,1224.818316, 1.562181, 0.109742,-0.001436,1224.708574, 1.563618,1224.928058,1224.818316
2034,1226.381037, 1.563261, 0.108314,-0.001419,1226.272723, 1.564680,1226.489351,1226.381037
2035,1227.944838, 1.564342, 0.106904,-0.001401,1227.837934, 1.565743,1228.051743,1227.944838
2036,1229.509721, 1.565423, 0.105511,-0.001384,1229.404209, 1.566807,1229.615232,1229.509721
2037,1231.075684, 1.566504, 0.104136,-0.001367,1230.971548, 1.567871,1231.179819,1231.075684
2038,1232.642728, 1.567585, 0.102777,-0.001350,1232.539951, 1.568935,1232.745505,1232.642728
2039,1234.210854, 1.568666, 0.101435,-0.001334,1234.109419, 1.570000,1234.312288,1234.210854
2040,1235.780061, 1.569748, 0.100109,-0.001317,1235.679952, 1.571066,1235.880170,1235.780061
2041,1237.350350, 1.570830, 0.098800,-0.001301,1237.251551, 1.572132,1237.449150,1237.350350
2042,1238.921722, 1.571913, 0.097507,-0.001285,1238.824215, 1.573198,1239.019229,1238.921722
2043,1240.494176, 1.572995, 0.096230,-0.001269,1240.397947, 1.574265,1240.590406,1240.494176
2044,1242.067713, 1.574078, 0.094968,-0.001254,1241.972745, 1.575332,1242.162681,1242.067713
2045,1243.642333, 1.575161, 0.093722,-0.001238,1243.548610, 1.576400,1243.736055,1243.642333
2046,1245.218036, 1.576245, 0.092492,-0.001223,1245.125544, 1.577468,1245.310528,1245.218036
2047,1246.794823, 1.577329, 0.091277,-0.001208,1246.703546, 1.578536,1246.886100,1246.794823
2048,1248.372693, 1.578412, 0.090077,-0.001193,1248.282616, 1.579605,1248.462770,1248.372693
2049,1249.951648, 1.579497, 0.088892,-0.001178,1249.862756, 1.580674,1250.040540,1249.951648
2050,1251.531686, 1.580581, 0.087721,-0.001163,1251.443965, 1.581744,1251.619408,1251.531686
2051,1253.112810, 1.581665, 0.086565,-0.001149,1253.026244, 1.582814,1253.199375,1253.112810
2052,1254.695017, 1.582750, 0.085424,-0.001134,1254.609594, 1.583885,1254.780441,1254.695017
2053,1256.278310, 1.583835, 0.084297,-0.001120,1256.194014, 1.584956,1256.362607,1256.278310
2054,1257.862688, 1.584921, 0.083183,-0.001106,1257.779505, 1.586027,1257.945872,1257.862688
2055,1259.448152, 1.586006, 0.082084,-0.001093,1259.366068, 1.587099,1259.530236,1259.448152
2056,1261.034701, 1.587092, 0.080998,-0.001079,1260.953702, 1.588171,1261.115699,1261.034701
2057,1262.622335, 1.588178, 0.079926,-0.001065,1262.542409, 1.589243,1262.702262,1262.622335
2058,1264.211056, 1.589264, 0.078867,-0.001052,1264.132189, 1.590316,1264.289924,1264.211056
2059,1265.800863, 1.590350, 0.077822,-0.001039,1265.723041, 1.591389,1265.878685,1265.800863
2060,1267.391757, 1.591437, 0.076790,-0.001026,1267.314967, 1.592463,1267.468546,1267.391757
2061,1268.983737, 1.592524, 0.075770,-0.001013,1268.907967, 1.593537,1269.059507,1268.983737
2062,1270.576804, 1.593610, 0.074764,-0.001000,1270.502040, 1.594611,1270.651567,1270.576804
2063,1272.170958, 1.594698, 0.073769,-0.000988,1272.097188, 1.595685,1272.244727,1272.170958
2064,1273.766199, 1.595785, 0.072788,-0.000975,1273.693411, 1.596760,1273.838987,1273.766199
2065,1275.362528, 1.596872, 0.071819,-0.000963,1275.290709, 1.597835,1275.434347,1275.362528
2066,1276.959944, 1.597960, 0.070862,-0.000951,1276.889082, 1.598911,1277.030806,1276.959944
2067,1278.558448, 1.599048, 0.069917,-0.000939,1278.488531, 1.599987,1278.628365,1278.558448
2068,1280.158040, 1.600136, 0.068984,-0.000927,1280.089056, 1.601063,1280.227024,1280.158040
2069,1281.758720, 1.601224, 0.068062,-0.000915,1281.690658, 1.602140,1281.826783,1281.758720
2070,1283.360488, 1.602313, 0.067153,-0.000904,1283.293336, 1.603216,1283.427641,1283.360488
2071,1284.963345, 1.603401, 0.066255,-0.000892,1284.897091, 1.604294,1285.029600,1284.963345
2072,1286.567291, 1.604490, 0.065368,-0.000881,1286.501923, 1.605371,1286.632659,1286.567291
2073,1288.172325, 1.605579, 0.064492,-0.000870,1288.107833, 1.606449,1288.236817,1288.172325
2074,1289.778448, 1.606668, 0.063628,-0.000859,1289.714820, 1.607527,1289.842076,1289.778448
2075,1291.385661, 1.607757, 0.062774,-0.000848,1291.322886, 1.608605,1291.448435,1291.385661
2076,1292.993962, 1.608846, 0.061932,-0.000837,1292.932030, 1.609684,1293.055894,1292.993962
2077,1294.603353, 1.609936, 0.061100,-0.000827,1294.542253, 1.610762,1294.664453,1294.603353
2078,1296.213834, 1.611025, 0.060278,-0.000816,1296.153555, 1.611841,1296.274112,1296.213834
2079,1297.825404, 1.612115, 0.059467,-0.000806,1297.765936, 1.612921,1297.884871,1297.825404
2080,1299.438064, 1.613205, 0.058667,-0.000796,1299.379397, 1.614000,1299.496730,1299.438064
2081,1301.051814, 1.614295, 0.057876,-0.000785,1300.993938, 1.615080,1301.109690,1301.051814
2082,1302.666654, 1.615385, 0.057096,-0.000775,1302.609558, 1.616160,1302.723749,1302.666654
2083,1304.282584, 1.616475, 0.056325,-0.000765,1304.226259, 1.617241,1304.338909,1304.282584
2084,1305.899604, 1.617566, 0.055565,-0.000756,1305.844040, 1.618321,1305.955169,1305.899604
2085,1307.517715, 1.618656, 0.054814,-0.000746,1307.462902, 1.619402,1307.572529,1307.517715
2086,1309.136917, 1.619747, 0.054072,-0.000737,1309.082844, 1.620483,1309.190989,1309.136917
2087,1310.757209, 1.620838, 0.053341,-0.000727,1310.703868, 1.621565,1310.810550,1310.757209
2088,1312.378592, 1.621928, 0.052618,-0.000718,1312.325974, 1.622646,1312.431210,1312.378592
2089,1314.001066, 1.623019, 0.051905,-0.000709,1313.949161, 1.623728,1314.052971,1314.001066
2090,1315.624631, 1.624110, 0.051201,-0.000699,1315.573430, 1.624810,1315.675832,1315.624631
2091,1317.249287, 1.625202, 0.050506,-0.000690,1317.198781, 1.625892,1317.299793,1317.249287
2092,1318.875034, 1.626293, 0.049820,-0.000682,1318.825214, 1.626974,1318.924855,1318.875034
2093,1320.501873, 1.627384, 0.049143,-0.000673,1320.452730, 1.628057,1320.551016,1320.501873
2094,1322.129803, 1.628476, 0.048474,-0.000664,1322.081328, 1.629140,1322.178277,1322.129803
2095,1323.758824, 1.629567, 0.047815,-0.000656,1323.711010, 1.630223,1323.806639,1323.758824
2096,1325.388937, 1.630659, 0.047163,-0.000647,1325.341774, 1.631306,1325.436101,1325.388937
2097,1327.020142, 1.631750, 0.046520,-0.000639,1326.973622, 1.632389,1327.066662,1327.020142
2098,1328.652438, 1.632842, 0.045886,-0.000631,1328.606553, 1.633473,1328.698324,1328.652438
2099,1330.285827, 1.633934, 0.045259,-0.000622,1330.240567, 1.634556,1330.331086,1330.285827
2100,1331.920307, 1.635026, 0.044641,-0.000614,1331.875666, 1.635640,1331.964947,1331.920307
2101,1333.555879, 1.636118, 0.044030,-0.000606,1333.511848, 1.636724,1333.599909,1333.555879
2102,1335.192543, 1.637210, 0.043428,-0.000599,1335.149114, 1.637809,1335.235971,1335.192543
2103,1336.830299, 1.638302, 0.042833,-0.000591,1336.787465, 1.638893,1336.873132,1336.830299
2104,1338.469147, 1.639394, 0.042247,-0.000583,1338.426900, 1.639977,1338.511393,1338.469147
2105,1340.109087, 1.640486, 0.041667,-0.000576,1340.067420, 1.641062,1340.150754,1340.109087
2106,1341.750120, 1.641579, 0.041095,-0.000568,1341.709024, 1.642147,1341.791215,1341.750120
2107,1343.392245, 1.642671, 0.040531,-0.000561,1343.351713, 1.643232,1343.432776,1343.392245
2108,1345.035462, 1.643763, 0.039974,-0.000553,1344.995488, 1.644317,1345.075436,1345.035462
2109,1346.679771, 1.644856, 0.039424,-0.000546,1346.640347, 1.645402,1346.719196,1346.679771
2110,1348.325173, 1.645948, 0.038882,-0.000539,1348.286291, 1.646487,1348.364055,1348.325173
2111,1349.971668, 1.647041, 0.038346,-0.000532,1349.933321, 1.647573,1350.010014,1349.971668
2112,1351.619255, 1.648133, 0.037818,-0.000525,1351.581437, 1.648658,1351.657073,1351.619255
2113,1353.267934, 1.649226, 0.037296,-0.000518,1353.230638, 1.649744,1353.305230,1353.267934
2114,1354.917706, 1.650318, 0.036782,-0.000511,1354.880924, 1.650830,1354.954488,1354.917706
2115,1356.568571, 1.651411, 0.036274,-0.000505,1356.532297, 1.651915,1356.604844,1356.568571
2116,1358.220528, 1.652503, 0.035772,-0.000498,1358.184755, 1.653001,1358.256300,1358.220528
2117,1359.873577, 1.653596, 0.035277,-0.000492,1359.838300, 1.654088,1359.908855,1359.873577
2118,1361.527720, 1.654689, 0.034789,-0.000485,1361.492931, 1.655174,1361.562509,1361.527720
2119,1363.182955, 1.655781, 0.034307,-0.000479,1363.148647, 1.656260,1363.217262,1363.182955
2120,1364.839282, 1.656874, 0.033832,-0.000472,1364.805451, 1.657346,1364.873114,1364.839282
